Player,Nation,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Position_2,Position,League
Yannick Carrasco,BEL,Atlético Madrid,29,1993,2.5,88,77,10,3,0,1,8,4,3,0,2,0,65,1,2,,Defender,La Liga
Álvaro Carreras,ESP,Granada,20,2003,5.3,222,195,27,8,1,4,14,17,2,0,1,0,169,0,7,Forward,Midfielder,La Liga
Rasmus Carstensen,DEN,Köln,22,2000,18.4,827,666,160,9,1,0,58,151,0,0,0,0,594,1,47,Forward,Defender,Bundesliga
Antonin Cartillier,FRA,Monaco,19,2004,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,Defender,Ligue 1
Dani Carvajal,ESP,Real Madrid,31,1992,24.1,1475,1284,190,37,3,3,49,153,0,0,0,0,1265,1,34,,Defender,La Liga
Fabio Carvalho,POR,RB Leipzig,20,2002,1.8,92,90,2,0,1,0,6,1,1,0,0,0,72,0,4,,Midfielder,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
William Carvalho,POR,Betis,31,1992,7.6,634,612,20,19,0,1,4,1,0,0,0,0,560,2,6,,Midfielder,La Liga
Cesare Casadei,ITA,Chelsea,20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1,Midfielder,Forward,Premier League
Marc Casado,ESP,Barcelona,19,2003,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,,Midfielder,La Liga
Nicolò Casale,ITA,Lazio,25,1998,17.3,1024,989,35,25,0,2,0,2,0,0,0,0,940,0,8,,Defender,Serie A
Casemiro,BRA,Manchester Utd,31,1992,22.0,1425,1385,34,28,4,6,13,0,0,0,0,0,1165,6,18,Defender,Midfielder,Premier League
Kaelan Casey,ENG,West Ham,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defender,Premier League
Matty Cash,POL,Aston Villa,25,1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24,,Defender,Premier League
Josué Casimir,FRA,Le Havre,21,2001,22.4,781,675,103,5,1,1,52,88,2,0,0,0,572,3,26,Defender,Forward,Ligue 1
Giuseppe Caso,ITA,Frosinone,24,1998,4.6,112,106,6,0,1,0,2,1,5,0,0,0,95,0,2,Midfielder,Forward,Serie A
Cristian Cásseres Jr.,VEN,Toulouse,23,2000,21.6,1030,961,67,39,3,6,22,10,10,4,3,0,837,2,24,,Midfielder,Ligue 1
Timothy Castagne,BEL,Fulham,27,1995,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55,,Defender,Premier League
Koen Casteels,BEL,Wolfsburg,31,1992,25.0,949,726,221,60,0,2,0,0,0,0,0,0,688,2,0,,Goalkeeper,Bundesliga
Valentín Castellanos,ARG,Lazio,24,1998,18.7,452,417,33,0,0,1,15,0,0,0,0,0,272,2,13,,Forward,Serie A
Jean-Charles Castelletto,CMR,Nantes,28,1995,27.4,1340,1267,71,24,1,2,20,47,0,0,0,0,1147,2,10,,Defender,Ligue 1
Samu Castillejo,ESP,Sassuolo,28,1995,6.0,283,253,29,13,0,2,34,3,13,7,3,0,213,1,4,Midfielder,Forward,Serie A
Jonny Castro,ESP,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Premier League
Santiago Castro,ARG,Bologna,18,2004,2.7,52,47,5,0,0,1,1,1,0,0,0,0,43,0,1,,Forward,Serie A
Gaetano Castrovilli,ITA,Fiorentina,26,1997,4.1,116,112,3,1,0,2,9,2,0,0,0,0,75,1,7,Midfielder,Forward,Serie A
Danilo Cataldi,ITA,Lazio,28,1994,15.1,932,882,48,23,3,3,31,5,20,4,13,0,800,2,8,,Midfielder,Serie A
Catena,ESP,Osasuna,28,1994,28.2,1341,1242,94,72,1,19,0,3,0,0,0,0,1095,5,6,,Defender,La Liga
Maximiliano Caufriez,BEL,Clermont Foot,26,1997,18.4,892,799,91,31,2,4,4,14,0,0,0,0,780,2,5,,Defender,Ligue 1
Ivan Cavaleiro,POR,Lille,29,1993,8.6,282,267,15,4,0,1,29,0,11,6,0,0,207,0,6,,Forward,Ligue 1
Dani Ceballos,ESP,Real Madrid,26,1996,6.6,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,Forward,Midfielder,La Liga
Emil Ceide,NOR,Sassuolo,21,2001,2.0,59,59,0,0,1,0,5,0,0,0,0,0,40,0,5,Midfielder,Forward,Serie A
Zeki Çelik,TUR,Roma,26,1997,7.5,341,280,61,5,1,3,20,56,0,0,0,0,284,0,3,,Defender,Serie A
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Álex Centelles,ESP,Almería,25,1997,10.9,544,430,112,24,1,5,44,88,0,0,0,0,400,2,19,,Defender,La Liga
Fabien Centonze,FRA,Hellas Verona,27,1996,7.5,317,238,77,0,0,0,28,77,0,0,0,0,213,2,10,,Defender,Serie A
Fabien Centonze,FRA,Nantes,27,1996,1.0,51,45,6,0,0,0,7,6,0,0,0,0,37,0,0,,Defender,Ligue 1
Václav Černý,CZE,Wolfsburg,25,1997,10.2,364,343,20,5,3,3,33,7,8,6,1,0,255,1,15,Midfielder,Forward,Bundesliga
Michele Cerofolini,ITA,Frosinone,24,1999,7.5,209,148,61,23,0,0,0,0,0,0,0,0,124,0,0,,Goalkeeper,Serie A
Alberto Cerri,ITA,Empoli,27,1996,6.1,136,134,1,0,0,0,1,0,0,0,0,0,68,1,5,,Forward,Serie A
Leonardo Cerri,ITA,Juventus,20,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defender,Serie A
Franco Cervi,ARG,Celta Vigo,29,1994,6.1,284,249,34,4,0,1,18,25,5,0,4,0,225,1,15,Defender,Midfielder,La Liga
Julian Chabot,GER,Köln,25,1998,30.0,1616,1405,208,108,0,12,4,2,0,0,0,0,1361,3,5,,Defender,Bundesliga
El Chadaille Bitshiabu,FRA,RB Leipzig,18,2005,0.4,59,53,6,0,0,0,2,6,0,0,0,0,48,0,1,Midfielder,Defender,Bundesliga
Fares Chaïbi,ALG,Toulouse,20,2002,0.6,40,38,2,0,0,0,7,0,2,1,1,0,28,0,0,Midfielder,Forward,Ligue 1
Fares Chaïbi,ALG,Eint Frankfurt,20,2002,21.2,922,744,172,41,3,3,176,28,94,41,50,0,592,6,32,Forward,Midfielder,Bundesliga
Trevoh Chalobah,ENG,Chelsea,24,1999,10.6,783,746,36,13,1,0,0,22,0,0,0,0,700,1,1,,Defender,Premier League
Muhammed Cham,AUT,Clermont Foot,22,2000,28.4,1327,1154,162,67,14,6,118,9,71,28,36,1,1055,11,31,Forward,Midfielder,Ligue 1
Calum Chambers,ENG,Aston Villa,28,1995,1.7,113,113,0,0,0,1,0,0,0,0,0,0,100,0,2,Defender,Midfielder,Premier League
Timothy Chandler,USA,Eint Frankfurt,33,1990,0.2,26,22,3,0,0,0,4,3,0,0,0,0,18,1,1,Defender,Midfielder,Bundesliga
Brendan Chardonnet,FRA,Brest,28,1994,33.0,1824,1763,58,55,1,25,13,3,0,0,0,0,1511,3,14,,Defender,Ligue 1
Charlys,BRA,Hellas Verona,19,2004,0.3,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,,Midfielder,Serie A
Pep Chavarría,ESP,Rayo Vallecano,25,1998,13.0,812,710,101,4,1,3,70,97,0,0,0,0,618,1,24,Midfielder,Defender,La Liga
Jhoanner Chávez,ECU,Lens,21,2002,5.3,222,173,49,2,0,2,13,47,0,0,0,0,173,0,8,,Defender,Ligue 1
Walid Cheddira,MAR,Frosinone,25,1998,23.6,385,349,33,0,1,2,3,1,0,0,0,0,262,3,27,,Forward,Serie A
Rayan Cherki,FRA,Lyon,19,2003,19.1,1069,945,121,24,15,24,71,15,66,22,15,0,830,3,31,Forward,Midfielder,Ligue 1
Youssef Chermiti,POR,Everton,19,2004,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0,,Forward,Premier League
Lucas Chevalier,FRA,Lille,21,2001,33.0,1186,956,226,103,1,3,0,0,0,0,0,0,914,4,0,,Goalkeeper,Ligue 1
Fabio Chiarodia,ITA,Gladbach,18,2005,1.7,87,81,6,2,0,0,1,4,0,0,0,0,78,0,0,,Defender,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Federico Chiesa,ITA,Juventus,25,1997,24.4,712,615,90,15,6,4,117,20,50,22,22,0,498,7,29,,Forward,Serie A
Ben Chilwell,ENG,Chelsea,26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19,,Defender,Premier League
Tawanda Chirewa,ZIM,Wolves,19,2003,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2,Forward,Midfielder,Premier League
Pedro Chirivella,ESP,Nantes,26,1997,28.8,1743,1628,105,67,7,10,29,4,13,8,2,0,1494,10,13,,Midfielder,Ligue 1
Leon Chiwome,ENG,Wolves,17,2006,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1,,Forward,Premier League
Tahith Chong,NED,Luton Town,23,1999,22.0,550,515,31,4,5,6,35,11,0,0,0,0,428,4,21,Forward,Midfielder,Premier League
Joris Chotard,FRA,Montpellier,21,2001,28.7,1179,1113,62,55,6,19,33,3,3,0,3,0,961,4,27,,Midfielder,Ligue 1
Andreas Christensen,DEN,Barcelona,27,1996,22.0,1569,1514,55,41,0,5,0,5,0,0,0,0,1480,0,11,Midfielder,Defender,La Liga
Jacob Christensen,DEN,Köln,22,2001,2.4,85,85,0,0,0,1,5,0,0,0,0,0,66,0,1,,Midfielder,Bundesliga
Oliver Christensen,DEN,Fiorentina,24,1999,4.0,190,164,26,6,0,0,0,0,0,0,0,0,146,0,1,,Goalkeeper,Serie A
Ryan Christie,SCO,Bournemouth,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26,,Midfielder,Premier League
Carney Chukwuemeka,ENG,Chelsea,19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4,Forward,Midfielder,Premier League
Samuel Chukwueze,NGA,Milan,24,1999,11.3,421,410,10,0,7,1,20,7,3,2,0,0,330,1,11,,Forward,Serie A
Víctor Chust,ESP,Cádiz,23,2000,20.7,1040,994,38,30,0,12,2,3,0,0,0,0,831,8,12,,Defender,La Liga
Pathé Ciss,SEN,Rayo Vallecano,29,1994,18.5,890,842,41,35,2,14,3,2,0,0,0,0,738,7,10,,Midfielder,La Liga
Alphadjo Cissè,ITA,Hellas Verona,16,2006,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Forward,Serie A
Djaoui Cissé,FRA,Rennes,19,2004,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,,Midfielder,Ligue 1
Ibrahim Cissoko,NED,Toulouse,20,2003,2.7,116,114,2,0,0,0,20,2,0,0,0,0,89,0,4,Midfielder,Forward,Ligue 1
Giorgio Cittadini,ITA,Monza,21,2002,0.2,6,5,1,1,0,0,0,0,0,0,0,0,5,0,0,,Defender,Serie A
Giorgio Cittadini,ITA,Genoa,21,2002,1.2,31,28,3,0,0,0,0,3,0,0,0,0,19,0,0,,Defender,Serie A
Patrick Ciurria,ITA,Monza,28,1995,17.8,847,740,106,7,2,2,53,92,7,2,4,0,662,1,25,Midfielder,Defender,Serie A
Bobby Clark,ENG,Liverpool,18,2005,1.0,49,49,0,0,0,0,0,0,0,0,0,0,38,0,2,,Midfielder,Premier League
Jordan Clark,ENG,Luton Town,29,1993,14.5,513,475,36,13,1,6,23,5,0,0,0,0,369,2,18,,Midfielder,Premier League
Alexis Claude-Maurice,FRA,Nice,25,1998,5.6,253,235,18,6,0,0,26,2,10,4,6,0,202,0,9,,Midfielder,Ligue 1
Jonathan Clauss,FRA,Marseille,30,1992,23.0,1526,1227,290,36,1,4,159,201,53,0,48,0,1153,9,39,,Defender,Ligue 1
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Silvi Clúa,ESP,Girona,18,2005,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,,Midfielder,La Liga
Nathaniel Clyne,ENG,Crystal Palace,32,1991,14.9,600,539,58,3,0,0,9,55,0,0,0,0,495,3,16,,Defender,Premier League
Marcus Coco,FRA,Nantes,27,1996,16.5,641,561,78,3,3,1,46,75,0,0,0,0,473,2,15,Forward,Defender,Ligue 1
Saúl Coco,EQG,Las Palmas,24,1999,25.5,1422,1361,54,48,1,3,1,2,0,0,0,0,1257,7,8,,Defender,La Liga
Séamus Coleman,IRL,Everton,34,1988,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11,,Defender,Premier League
Maxime Colin,FRA,Metz,31,1991,20.4,925,684,235,19,0,2,34,216,0,0,0,0,660,6,30,,Defender,Ligue 1
Nathan Collins,IRL,Brentford,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16,,Defender,Premier League
Nnamdi Collins,GER,Eint Frankfurt,19,2004,1.0,75,64,10,2,0,0,2,8,0,0,0,0,61,1,0,,Defender,Bundesliga
Lorenzo Colombo,ITA,Monza,21,2002,15.1,263,252,11,1,0,4,2,2,0,0,0,0,185,0,7,,Forward,Serie A
Andrea Colpani,ITA,Monza,24,1999,29.5,981,876,99,24,2,33,111,9,66,15,40,0,752,6,19,Forward,Midfielder,Serie A
Levi Colwill,ENG,Chelsea,20,2003,20.0,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17,,Defender,Premier League
Kingsley Coman,FRA,Bayern Munich,27,1996,12.4,647,630,13,1,1,5,60,6,3,0,0,0,528,4,19,,Forward,Bundesliga
Eray Cömert,SUI,Nantes,25,1998,22.2,1064,1007,57,37,1,19,3,3,0,0,0,0,941,0,10,,Defender,Ligue 1
Santi Comesaña,ESP,Villarreal,26,1996,18.4,868,842,24,23,2,7,5,1,0,0,0,0,752,2,8,,Midfielder,La Liga
Pietro Comuzzo,ITA,Fiorentina,18,2005,0.5,38,38,0,0,0,0,0,0,0,0,0,0,27,0,0,Forward,Defender,Serie A
Alois Confais,FRA,Le Havre,26,1996,0.1,9,7,2,2,0,0,1,0,0,0,0,0,7,0,0,Forward,Midfielder,Ligue 1
Andrea Consigli,ITA,Sassuolo,36,1987,35.0,1235,855,379,126,0,1,0,1,0,0,0,0,838,1,0,,Goalkeeper,Serie A
Bambasé Conté,GER,Hoffenheim,20,2003,0.5,24,24,0,0,0,0,1,0,0,0,0,0,19,0,0,Forward,Midfielder,Bundesliga
Nikita Contini Baranovsky,ITA,Napoli,27,1996,0.2,4,2,2,1,0,0,0,0,0,0,0,0,4,0,0,,Goalkeeper,Serie A
Lewis Cook,ENG,Bournemouth,26,1997,31.0,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25,,Midfielder,Premier League
Copete,ESP,Mallorca,23,1999,14.8,584,560,22,21,1,14,10,1,0,0,0,0,449,2,8,,Defender,La Liga
Diego Coppola,ITA,Hellas Verona,19,2003,18.2,718,687,30,28,0,7,0,1,0,0,0,0,555,1,6,,Defender,Serie A
Francis Coquelin,FRA,Villarreal,32,1991,10.1,431,421,10,10,1,7,2,0,0,0,0,0,379,0,4,,Midfielder,La Liga
Tommaso Corazza,ITA,Bologna,19,2004,2.2,145,110,35,5,0,1,8,30,0,0,0,0,119,0,9,,Defender,Serie A
Theo Corbeanu,CAN,Granada,21,2002,2.0,60,59,1,0,1,0,12,0,1,0,0,0,37,0,1,Forward,Midfielder,La Liga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Jeppe Corfitzen,DEN,Lecce,18,2004,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,,Forward,Serie A
Jack Cork,ENG,Burnley,34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2,,Midfielder,Premier League
Maxwel Cornet,CIV,West Ham,26,1996,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2,Forward,Midfielder,Premier League
Giacomo Corona,ITA,Empoli,19,2004,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,,Forward,Serie A
Jesús Corona,MEX,Sevilla,30,1993,0.2,14,14,0,0,1,0,2,0,0,0,0,0,9,0,0,Defender,Midfielder,La Liga
Ángel Correa,ARG,Atlético Madrid,28,1995,17.0,516,471,37,3,1,2,40,0,21,11,8,0,379,8,11,Midfielder,Forward,La Liga
Joaquín Correa,ARG,Marseille,28,1994,4.8,167,163,3,1,1,0,1,2,0,0,0,0,131,1,10,Midfielder,Forward,Ligue 1
Thierry Correia,POR,Valencia,24,1999,23.9,1340,1033,300,31,2,4,48,268,1,0,0,0,1017,7,19,,Defender,La Liga
Oscar Cortés,COL,Lens,19,2003,0.5,26,26,0,0,0,0,2,0,0,0,0,0,18,0,0,Midfielder,Forward,Ligue 1
Danny da Costa,GER,Mainz 05,30,1993,9.2,470,357,113,2,0,1,40,111,0,0,0,0,317,0,21,,Defender,Bundesliga
David Pereira da Costa,POR,Lens,22,2001,16.6,726,664,56,15,3,0,77,3,38,14,22,0,570,6,19,,Midfielder,Ligue 1
Jaume Costa,ESP,Mallorca,35,1988,18.7,834,645,178,3,0,2,63,175,0,0,0,0,615,11,16,,Defender,La Liga
João Costa,BRA,Roma,18,2005,0.2,9,7,2,0,0,0,1,1,0,0,0,0,7,0,1,Forward,Midfielder,Serie A
Logan Costa,CPV,Toulouse,22,2001,29.4,1784,1676,106,52,0,14,12,19,0,0,0,0,1491,2,14,,Defender,Ligue 1
Samu Costa,POR,Mallorca,22,2000,25.6,1087,1063,21,14,1,14,24,2,2,1,1,0,830,3,36,,Midfielder,La Liga
Benoît Costil,FRA,Salernitana,36,1987,13.0,428,273,154,50,0,0,1,0,0,0,0,0,258,1,0,,Goalkeeper,Serie A
Grégoire Coudert,FRA,Brest,24,1999,2.0,80,60,20,10,0,0,0,0,0,0,0,0,55,0,0,,Goalkeeper,Ligue 1
Vladimír Coufal,CZE,West Ham,30,1992,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56,,Defender,Premier League
Lassana Coulibaly,MLI,Salernitana,27,1996,23.1,873,852,14,14,1,5,8,0,0,0,0,0,736,7,20,,Midfielder,Serie A
Mamadou Coulibaly,SEN,Salernitana,24,1999,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,Defender,Serie A
Mamadou Coulibaly,FRA,Monaco,19,2004,1.3,70,69,1,0,0,0,1,1,0,0,0,0,56,0,1,,Midfielder,Ligue 1
Tanguy Coulibaly,FRA,Montpellier,22,2001,6.9,172,165,6,0,0,0,8,5,0,0,0,0,137,1,3,Midfielder,Forward,Ligue 1
Thibaut Courtois,BEL,Real Madrid,31,1992,3.7,123,103,20,2,0,1,0,0,0,0,0,0,113,0,0,,Goalkeeper,La Liga
Philippe Coutinho,BRA,Aston Villa,31,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0,Forward,Midfielder,Premier League
Yan Couto,BRA,Girona,21,2002,24.9,1354,1181,170,24,5,4,111,145,1,0,0,0,1057,3,47,Forward,Defender,La Liga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Nicolas Cozza,FRA,Nantes,24,1999,9.9,366,282,83,3,0,0,13,80,0,0,0,0,270,1,8,,Defender,Ligue 1
Nicolas Cozza,FRA,Wolfsburg,24,1999,3.1,192,161,31,0,0,1,4,31,0,0,0,0,147,0,5,,Defender,Bundesliga
Alessio Cragno,ITA,Sassuolo,29,1994,3.0,100,68,32,10,0,0,0,0,0,0,0,0,69,0,0,,Goalkeeper,Serie A
Crespo,POR,Rayo Vallecano,26,1996,5.9,273,262,10,7,1,1,3,0,0,0,0,0,230,1,3,,Midfielder,La Liga
Aaron Cresswell,ENG,West Ham,33,1989,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,Forward,Defender,Premier League
Bryan Cristante,ITA,Roma,28,1995,36.5,2178,2140,30,28,5,21,29,2,0,0,0,0,1785,8,43,Defender,Midfielder,Serie A
Cristian,ESP,Valencia,25,1998,0.6,18,13,5,2,0,0,0,0,0,0,0,0,13,0,0,,Goalkeeper,La Liga
Juan Cruz Armada,ESP,Osasuna,31,1992,18.5,941,759,178,11,0,0,21,165,0,0,0,0,712,4,15,,Defender,La Liga
Juan Cruz,ARG,Hellas Verona,24,1999,1.2,27,27,0,0,0,0,1,0,0,0,0,0,18,0,1,Midfielder,Forward,Serie A
Juan Cruz,ESP,Betis,23,2000,0.8,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0,,Forward,La Liga
Juan Cuadrado,COL,Inter,35,1988,3.0,189,169,20,3,0,6,18,17,0,0,0,0,158,0,0,,Defender,Serie A
Pau Cubarsí,ESP,Barcelona,16,2007,17.3,1487,1441,43,32,2,11,1,3,0,0,0,0,1360,3,6,,Defender,La Liga
Marc Cucurella,ESP,Chelsea,25,1998,19.8,1196,1043,153,30,1,2,16,123,0,0,0,0,1036,0,26,,Defender,Premier League
Iván Cuéllar,ESP,Mallorca,39,1984,1.0,35,32,3,0,0,0,0,0,0,0,0,0,24,0,0,,Goalkeeper,La Liga
Jorge Cuenca,ESP,Villarreal,23,1999,21.8,1150,1035,111,36,0,16,13,41,0,0,0,0,957,4,9,,Defender,La Liga
Josh Cullen,IRL,Burnley,27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19,,Midfielder,Premier League
Matheus Cunha,BRA,Wolves,24,1999,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19,Midfielder,Forward,Premier League
Marvin Cuni,ALB,Frosinone,22,2001,5.9,115,104,10,0,0,1,4,1,0,0,0,0,82,1,5,,Forward,Serie A
Eric Curbelo,ESP,Las Palmas,29,1994,1.1,59,52,7,3,0,1,0,1,0,0,0,0,57,0,0,Midfielder,Defender,La Liga
Sam Curtis,IRL,Sheffield Utd,17,2005,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,1,,Defender,Premier League
Tomáš Čvančara,CZE,Gladbach,22,2000,10.0,216,206,9,0,0,0,3,0,0,0,0,0,137,1,7,,Forward,Bundesliga
Danilo D'Ambrosio,ITA,Monza,34,1988,17.1,1095,1029,65,34,1,2,7,27,0,0,0,0,979,1,9,,Defender,Serie A
Alberto Dadie,ESP,Real Sociedad,21,2002,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,,Midfielder,La Liga
Trévis Dago,CIV,Lille,18,2005,0.3,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0,Midfielder,Forward,Ligue 1
Finn Dahmen,GER,Augsburg,25,1998,31.0,1345,1053,285,98,0,3,0,0,0,0,0,0,1025,7,0,,Goalkeeper,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Mahmoud Dahoud,GER,Brighton,27,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8,,Midfielder,Premier League
Mahmoud Dahoud,GER,Stuttgart,27,1996,2.5,235,229,5,3,1,2,6,0,2,1,1,0,205,1,3,,Midfielder,Bundesliga
Ameen Al-Dakhil,BEL,Burnley,21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6,,Defender,Premier League
Thijs Dallinga,NED,Toulouse,22,2000,27.9,621,591,28,1,0,7,14,2,0,0,0,0,416,2,24,,Forward,Ligue 1
Diogo Dalot,POR,Manchester Utd,24,1999,35.3,1830,1546,277,21,1,7,80,251,5,2,3,0,1486,7,39,,Defender,Premier League
Mikkel Damsgaard,DEN,Brentford,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19,,Midfielder,Premier League
Flavius Daniliuc,AUT,Salernitana,22,2001,8.3,411,368,41,11,1,4,1,30,0,0,0,0,350,2,8,,Defender,Serie A
Danilo,BRA,Nott'ham Forest,22,2001,19.9,758,717,35,7,4,9,26,1,19,19,0,0,589,6,15,,Midfielder,Premier League
Danilo,BRA,Juventus,32,1991,27.2,1849,1635,205,49,2,23,18,89,0,0,0,0,1591,9,12,,Defender,Serie A
Arnaut Danjuma,NED,Everton,26,1997,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8,Forward,Midfielder,Premier League
Jayden Danns,ENG,Liverpool,17,2006,0.1,7,7,0,0,1,0,0,0,0,0,0,0,5,0,0,,Forward,Premier League
Kevin Danso,AUT,Lens,24,1998,29.5,1719,1602,114,70,0,3,3,7,0,0,0,0,1508,3,7,,Defender,Ligue 1
Dante,BRA,Nice,39,1983,31.6,2803,2665,133,69,4,11,10,8,0,0,0,0,2540,5,11,,Defender,Ligue 1
Raimane Daou,COM,Marseille,18,2004,0.3,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,Midfielder,Defender,Ligue 1
Mohammed Daramy,DEN,Reims,21,2002,18.3,527,499,26,0,7,4,15,12,1,0,0,0,401,2,23,Midfielder,Forward,Ligue 1
Sergi Darder,ESP,Mallorca,29,1993,24.0,1002,841,150,55,10,19,149,13,63,23,36,2,725,11,25,,Midfielder,La Liga
Achraf Dari,MAR,Brest,24,1999,1.3,85,83,2,2,0,0,0,0,0,0,0,0,73,0,0,Forward,Defender,Ligue 1
Matteo Darmian,ITA,Inter,33,1989,26.7,1389,1236,150,16,5,9,21,134,0,0,0,0,1181,3,30,,Defender,Serie A
Lukas Daschner,GER,Bochum,24,1998,6.0,179,164,14,4,2,2,20,2,8,6,0,0,107,1,9,Forward,Midfielder,Bundesliga
Josh Dasilva,ENG,Brentford,24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1,Forward,Defender,Premier League
David Datro Fofana,CIV,Burnley,20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8,,Forward,Premier League
David Datro Fofana,CIV,Union Berlin,20,2002,7.6,152,147,4,0,0,0,11,1,0,0,0,0,106,1,6,Midfielder,Forward,Bundesliga
Juan David Cabal,COL,Hellas Verona,22,2001,16.6,790,620,168,14,1,6,33,153,1,0,0,0,561,2,29,,Defender,Serie A
Jonathan David,CAN,Lille,23,2000,29.2,655,610,40,2,0,0,2,0,0,0,0,0,537,5,18,,Forward,Ligue 1
Alphonso Davies,CAN,Bayern Munich,22,2000,22.9,1642,1455,187,27,4,1,31,160,0,0,0,0,1440,0,31,,Defender,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Ben Davies,WAL,Tottenham,30,1993,12.1,850,788,61,34,3,3,10,27,0,0,0,0,766,1,10,,Defender,Premier League
Tom Davies,ENG,Sheffield Utd,25,1998,2.5,99,92,5,2,1,0,4,1,0,0,0,0,68,2,5,,Midfielder,Premier League
Keinan Davis,ENG,Udinese,25,1998,2.1,50,49,1,0,0,0,0,0,0,0,0,0,36,0,4,Midfielder,Forward,Serie A
Paweł Dawidowicz,POL,Hellas Verona,28,1995,23.8,1173,1102,70,52,0,11,2,10,0,0,0,0,972,1,12,,Defender,Serie A
