Player,Nation,Squad,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Position_2,Position,League
Karim Adeyemi,GER,Dortmund,21,2002,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Midfielder,Forward,Bundesliga
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Simon Adingra,CIV,Brighton,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,,Forward,Premier League
Nathaniel Adjei,GHA,Lorient,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,,Defender,Ligue 1
Amine Adli,MAR,Leverkusen,23,2000,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,Forward,Midfielder,Bundesliga
Yacine Adli,FRA,Milan,23,2000,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14,,Midfielder,Serie A
Adryelson,BRA,Lyon,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Forward,Defender,Ligue 1
Adson,BRA,Nantes,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,Forward,Midfielder,Ligue 1
Michel Aebischer,SUI,Bologna,26,1997,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17,,Midfielder,Serie A
Emmanuel Agbadou,CIV,Reims,26,1997,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11,,Defender,Ligue 1
Julen Agirrezabala,ESP,Athletic Club,22,2000,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,,Goalkeeper,La Liga
Lucien Agoume,FRA,Inter,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,,Midfielder,Serie A
Lucien Agoume,FRA,Sevilla,21,2002,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,,Midfielder,La Liga
Felix Agu,GER,Werder Bremen,23,1999,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,Midfielder,Defender,Bundesliga
Nayef Aguerd,MAR,West Ham,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,,Defender,Premier League
Ruben Aguilar,FRA,Lens,30,1993,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35,,Defender,Ligue 1
Brandon Aguilera,CRC,Nott'ham Forest,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,,Forward,Premier League
Naouirou Ahamada,FRA,Crystal Palace,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,Forward,Midfielder,Premier League
Anel Ahmedhodžić,BIH,Sheffield Utd,24,1999,29.4,988,950,36,11,1,2,6,25,0,0,0,0,745,2,20,,Defender,Premier League
Joseph Aidoo,GHA,Celta Vigo,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,,Defender,La Liga
Ola Aina,NGA,Nott'ham Forest,26,1996,18.8,802,649,150,12,2,2,28,138,0,0,0,0,603,3,17,,Defender,Premier League
Rayan Aït-Nouri,ALG,Wolves,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,Midfielder,Defender,Premier League
Tosin Aiyegun,BEN,Lorient,25,1998,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4,Forward,Midfielder,Ligue 1
Kristoffer Ajer,NOR,Brentford,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,,Defender,Premier League
Ludovic Ajorque,FRA,Mainz 05,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,,Forward,Bundesliga
Manuel Akanji,SUI,Manchester City,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,Midfielder,Defender,Premier League
Marley Aké,FRA,Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Serie A
Player,,Squad,Ag,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,,Po,Bundesliga
Nathan Aké,NED,Manchester City,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,,Defender,Premier League
Ilias Akhomach,MAR,Villarreal,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Forward,Midfielder,La Liga
Sergio Akieme,ESP,Almería,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,,Defender,La Liga
Sergio Akieme,ESP,Reims,25,1997,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8,,Defender,Ligue 1
Ebenezer Akinsanmiro,NGA,Inter,18,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,,Midfielder,Serie A
Maghnes Akliouche,FRA,Monaco,21,2002,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24,Forward,Midfielder,Ligue 1
Paul Akouokou,CIV,Betis,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,,Midfielder,La Liga
Paul Akouokou,CIV,Lyon,25,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2,,Midfielder,Ligue 1
Jean-Daniel Akpa-Akpro,CIV,Monza,30,1992,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11,,Midfielder,Serie A
David Akpan Ankeye,NGA,Genoa,21,2002,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,,Forward,Serie A
