Player,Nation,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position_2,Position,League
Simon Kjær,DEN,Milan,34,1989,13.0,24,15,11,11,2,14,22,63.6,8,22,16,6,14,38,46,2,,Defender,Serie A
Davy Klaassen,NED,Inter,30,1993,2.3,4,2,0,4,0,1,3,33.3,2,5,1,4,3,7,4,0,,Midfielder,Serie A
Christoph Klarer,AUT,Darmstadt 98,23,2000,26.2,37,22,30,4,3,24,36,66.7,12,31,20,11,21,58,94,1,,Defender,Bundesliga
Tim Kleindienst,GER,Heidenheim,27,1995,31.9,21,12,6,11,4,7,25,28.0,18,32,8,24,12,33,58,0,,Forward,Bundesliga
Lukas Klostermann,GER,RB Leipzig,27,1996,16.0,15,10,7,7,1,4,13,30.8,9,25,12,13,13,28,64,1,,Defender,Bundesliga
Justin Kluivert,NED,Bournemouth,24,1999,21.3,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0,Forward,Midfielder,Premier League
Ansgar Knauff,GER,Eint Frankfurt,21,2002,23.4,43,26,17,16,10,17,31,54.8,14,40,3,37,20,63,15,0,Defender,Midfielder,Bundesliga
Robin Knoche,GER,Union Berlin,31,1992,21.3,34,22,27,7,0,19,30,63.3,11,27,19,8,13,47,73,0,,Defender,Bundesliga
Gregor Kobel,SUI,Dortmund,25,1997,26.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,0,,Goalkeeper,Bundesliga
Robin Koch,GER,Eint Frankfurt,27,1996,30.4,38,23,26,12,0,17,27,63.0,10,33,24,9,32,70,136,2,,Defender,Bundesliga
Philipp Köhn,SUI,Monaco,25,1998,22.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,3,,Goalkeeper,Ligue 1
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Dominik Kohr,GER,Mainz 05,29,1994,24.3,65,42,36,25,4,36,57,63.2,21,27,6,21,43,108,58,0,Midfielder,Defender,Bundesliga
Koke,ESP,Atlético Madrid,31,1992,27.7,66,44,27,32,7,36,79,45.6,43,37,12,25,16,82,34,1,,Midfielder,La Liga
Sead Kolašinac,BIH,Atalanta,30,1993,24.2,44,32,23,19,2,30,49,61.2,19,22,9,13,21,65,47,0,,Defender,Serie A
Luca Koleosho,ITA,Burnley,18,2004,10.8,7,4,2,5,0,2,10,20.0,8,13,0,13,2,9,0,0,Forward,Midfielder,Premier League
Randal Kolo Muani,FRA,Paris S-G,24,1998,14.1,10,8,5,3,2,5,13,38.5,8,5,0,5,4,14,10,0,Midfielder,Forward,Ligue 1
Randal Kolo Muani,FRA,Eint Frankfurt,24,1998,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Forward,Bundesliga
Mert Kömür,GER,Augsburg,18,2005,1.3,3,3,3,0,0,3,5,60.0,2,0,0,0,0,3,1,0,Defender,Midfielder,Bundesliga
Cheick Konaté,MLI,Clermont Foot,19,2004,11.9,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,,Defender,Ligue 1
Ibrahima Konaté,FRA,Liverpool,24,1999,17.5,36,22,22,13,1,18,24,75.0,6,18,12,6,20,56,51,1,,Defender,Premier League
Geoffrey Kondogbia,CTA,Marseille,30,1993,16.3,48,31,18,25,5,13,32,40.6,19,21,4,17,30,78,25,0,,Midfielder,Ligue 1
Abdoul Koné,FRA,Reims,18,2005,2.1,7,7,5,2,0,4,11,36.4,7,2,0,2,2,9,9,0,,Defender,Ligue 1
Amadou Koné,MLI,Reims,18,2005,5.3,13,8,11,2,0,6,10,60.0,4,8,3,5,10,23,10,0,,Midfielder,Ligue 1
Ibrahima Koné,MLI,Almería,24,1999,3.1,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0,,Forward,La Liga
Ibrahima Koné,MLI,Lorient,24,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,,Forward,Ligue 1
Manu Koné,FRA,Gladbach,22,2001,17.3,45,26,20,20,5,17,25,68.0,8,22,1,21,15,60,16,1,,Midfielder,Bundesliga
Ezri Konsa,ENG,Aston Villa,25,1997,34.1,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,,Defender,Premier League
Teun Koopmeiners,NED,Atalanta,25,1998,29.2,39,24,12,22,5,17,50,34.0,33,33,3,30,10,49,35,0,,Midfielder,Serie A
Odilon Kossonou,CIV,Leverkusen,22,2001,20.1,30,20,11,12,7,15,26,57.7,11,27,3,24,27,57,43,1,,Defender,Bundesliga
Filip Kostić,SRB,Juventus,30,1992,20.2,37,23,20,13,4,17,33,51.5,16,29,8,21,9,46,43,0,,Defender,Serie A
Christian Kouamé,CIV,Fiorentina,25,1997,12.1,13,4,7,6,0,6,10,60.0,4,16,0,16,2,15,10,0,,Forward,Serie A
Rominigue Kouamé,MLI,Cádiz,26,1996,9.1,14,9,6,7,1,7,15,46.7,8,10,2,8,13,27,10,1,,Midfielder,La Liga
Koffi Kouao,CIV,Metz,25,1998,9.6,20,13,12,7,1,11,17,64.7,6,9,6,3,13,33,38,1,,Defender,Ligue 1
Tomáš Koubek,CZE,Augsburg,30,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,Goalkeeper,Bundesliga
Therence Koudou,FRA,Reims,18,2004,3.5,2,2,1,1,0,0,2,0.0,2,4,3,1,4,6,9,0,,Defender,Ligue 1
Jules Koundé,FRA,Barcelona,24,1998,32.2,37,23,22,10,5,28,51,54.9,23,32,12,20,25,62,83,5,,Defender,La Liga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Boubakar Kouyaté,MLI,Montpellier,26,1997,21.4,49,30,39,8,2,28,51,54.9,23,31,20,11,29,78,123,1,,Defender,Ligue 1
Cheikhou Kouyaté,SEN,Nott'ham Forest,33,1989,2.4,8,5,3,3,2,1,4,25.0,3,4,1,3,2,10,10,0,,Midfielder,Premier League
Mateo Kovačić,CRO,Manchester City,29,1994,17.2,36,25,16,15,5,18,28,64.3,10,23,1,22,10,46,10,0,,Midfielder,Premier League
Viktor Kovalenko,UKR,Empoli,27,1996,6.8,5,2,2,2,1,2,8,25.0,6,12,2,10,1,6,7,0,,Midfielder,Serie A
Matej Kovar,CZE,Leverkusen,23,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Bundesliga
Dawid Kownacki,POL,Werder Bremen,26,1997,4.2,1,1,1,0,0,1,4,25.0,3,3,1,2,0,1,1,0,,Forward,Bundesliga
Emil Krafth,SWE,Newcastle Utd,28,1994,10.1,21,14,10,7,4,12,25,48.0,13,8,3,5,9,30,21,0,,Defender,Premier League
Alex Král,CZE,Union Berlin,25,1998,15.2,19,14,7,10,2,8,20,40.0,12,15,4,11,11,30,30,0,,Midfielder,Bundesliga
Andrej Kramarić,CRO,Hoffenheim,32,1991,24.4,11,2,5,4,2,6,13,46.2,7,14,2,12,10,21,12,2,Forward,Midfielder,Bundesliga
Christoph Kramer,GER,Gladbach,32,1991,2.8,10,5,5,5,0,2,14,14.3,12,7,1,6,4,14,6,0,,Midfielder,Bundesliga
Frans Krätzig,GER,Bayern Munich,20,2003,0.6,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,,Defender,Bundesliga
Tom Krauß,GER,Mainz 05,22,2001,15.0,57,33,22,31,4,21,58,36.2,37,33,4,29,17,74,28,0,,Midfielder,Bundesliga
Rasmus Kristensen,DEN,Roma,26,1997,19.4,36,19,25,8,3,28,50,56.0,22,27,7,20,8,44,50,0,,Defender,Serie A
Thomas Kristensen,DEN,Udinese,21,2002,23.3,35,24,25,10,0,21,33,63.6,12,29,20,9,29,64,118,0,,Defender,Serie A
Toni Kroos,GER,Real Madrid,33,1990,23.6,53,34,19,25,9,24,59,40.7,35,22,4,18,17,70,11,1,,Midfielder,La Liga
Nikola Krstović,MNE,Lecce,23,2000,26.4,17,6,3,9,5,6,10,60.0,4,12,4,8,4,21,22,0,,Forward,Serie A
Rade Krunić,BIH,Milan,29,1993,7.6,10,8,3,6,1,4,9,44.4,5,7,3,4,11,21,14,0,,Midfielder,Serie A
Lukas Kübler,GER,Freiburg,30,1992,20.5,50,24,35,13,2,26,42,61.9,16,36,14,22,37,87,57,1,,Defender,Bundesliga
Takefusa Kubo,JPN,Real Sociedad,22,2001,23.9,26,17,15,6,5,9,23,39.1,14,21,2,19,11,37,8,1,Midfielder,Forward,La Liga
Mahmut Kücüksahin,,Augsburg,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Bundesliga
Mohammed Kudus,GHA,West Ham,22,2000,27.6,65,47,27,27,11,20,40,50.0,20,25,0,25,11,76,9,1,Midfielder,Forward,Premier League
Christian Kühlwetter,GER,Heidenheim,27,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Bundesliga
Dejan Kulusevski,SWE,Tottenham,23,2000,30.7,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1,Midfielder,Forward,Premier League
Sael Kumbedi,FRA,Lyon,18,2005,10.3,30,20,14,12,4,9,22,40.9,13,12,3,9,14,44,18,2,,Defender,Ligue 1
Marash Kumbulla,ALB,Sassuolo,23,2000,4.0,3,2,2,1,0,1,2,50.0,1,8,6,2,0,3,22,0,,Defender,Serie A
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Justin Kumi,ITA,Sassuolo,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Serie A
Layvin Kurzawa,FRA,Paris S-G,30,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defender,Ligue 1
Berkan Kutlu,TUR,Genoa,25,1998,2.2,6,4,5,1,0,3,6,50.0,3,3,0,3,4,10,5,0,,Midfielder,Serie A
Daler Kuzyaev,RUS,Le Havre,30,1993,23.2,34,19,11,13,10,15,43,34.9,28,18,5,13,22,56,18,1,,Midfielder,Ligue 1
Khvicha Kvaratskhelia,GEO,Napoli,22,2001,30.4,42,21,11,19,12,15,49,30.6,34,15,1,14,13,55,9,0,,Forward,Serie A
Giorgi Kvernadze,GEO,Frosinone,20,2003,0.7,3,0,2,0,1,2,2,100.0,0,1,0,1,1,4,0,0,Defender,Forward,Serie A
Moritz-Broni Kwarteng,GHA,Bochum,25,1998,3.1,3,0,0,3,0,1,7,14.3,6,4,0,4,2,5,0,0,,Forward,Bundesliga
Grejohn Kyei,FRA,Clermont Foot,27,1995,11.4,6,4,2,2,2,2,3,66.7,1,5,1,4,1,7,10,0,,Forward,Ligue 1
Giorgos Kyriakopoulos,GRE,Monza,27,1996,19.0,19,10,16,3,0,11,24,45.8,13,18,1,17,13,32,28,0,,Defender,Serie A
Luca de la Torre,USA,Celta Vigo,25,1998,21.7,39,21,12,22,5,22,43,51.2,21,23,4,19,12,51,17,0,,Midfielder,La Liga
Gaëtan Laborde,FRA,Nice,29,1994,21.2,18,12,8,4,6,11,30,36.7,19,20,2,18,6,24,8,1,Midfielder,Forward,Ligue 1
Alexandre Lacazette,FRA,Lyon,32,1991,25.5,19,12,8,9,2,5,17,29.4,12,22,3,19,8,27,9,0,,Forward,Ligue 1
Maxence Lacroix,FRA,Wolfsburg,23,2000,26.2,48,29,28,18,2,29,41,70.7,12,35,12,23,24,72,121,0,,Defender,Bundesliga
Alban Lafont,FRA,Nantes,24,1999,27.7,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,14,0,,Goalkeeper,Ligue 1
Yoel Lago,ESP,Celta Vigo,19,2004,1.0,2,0,2,0,0,0,0,0,0,1,0,1,0,2,2,0,,Defender,La Liga
Aïssa Laïdouni,TUN,Union Berlin,26,1996,11.9,21,12,4,12,5,4,12,33.3,8,26,2,24,12,33,14,2,,Midfielder,Bundesliga
Konrad Laimer,AUT,Bayern Munich,26,1997,19.7,56,36,25,20,11,22,52,42.3,30,42,6,36,18,74,13,2,Midfielder,Defender,Bundesliga
Stefan Lainer,AUT,Gladbach,30,1992,8.3,23,16,15,8,0,14,24,58.3,10,13,6,7,5,28,28,0,Midfielder,Defender,Bundesliga
Kenny Lala,MAD,Brest,31,1991,33.0,78,51,39,28,11,30,56,53.6,26,27,6,21,28,106,75,1,,Defender,Ligue 1
Adam Lallana,ENG,Brighton,35,1988,9.4,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,Forward,Midfielder,Premier League
Mathis Lambourde,FRA,Rennes,17,2006,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,,Forward,Ligue 1
Érik Lamela,ARG,Sevilla,31,1992,5.1,21,14,4,10,7,10,15,66.7,5,12,0,12,1,22,5,0,Midfielder,Forward,La Liga
Mohamed Lamine Bayo,GUI,Le Havre,25,1998,15.4,13,5,2,5,6,2,10,20.0,8,8,1,7,2,15,11,0,,Forward,Ligue 1
Didier Lamkel Zé,CMR,Metz,26,1996,6.1,7,2,2,4,1,2,5,40.0,3,4,0,4,0,7,11,0,Midfielder,Forward,Ligue 1
Tariq Lamptey,GHA,Brighton,22,2000,10.2,21,14,14,5,2,13,22,59.1,9,7,3,4,6,27,6,0,Forward,Defender,Premier League
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Bruno Langa,MOZ,Almería,25,1997,9.1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,,Defender,La Liga
Gianluca Lapadula,PER,Cagliari,33,1990,13.4,1,1,0,0,1,1,10,10.0,9,2,1,1,2,3,5,0,,Forward,Serie A
Aymeric Laporte,ESP,Manchester City,29,1994,0.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,Defender,Premier League
Julien Laporte,FRA,Lorient,29,1993,20.2,23,14,15,7,1,16,36,44.4,20,36,26,10,11,34,116,1,,Defender,Ligue 1
Cyle Larin,CAN,Mallorca,28,1995,20.3,17,8,6,4,7,2,7,28.6,5,16,5,11,3,20,17,0,,Forward,La Liga
Yasser Larouci,ALG,Sheffield Utd,22,2001,5.9,17,9,10,5,2,10,14,71.4,4,6,1,5,7,24,20,1,,Defender,Premier League
Hugo Larsson,SWE,Eint Frankfurt,19,2004,21.0,32,18,18,10,4,15,28,53.6,13,34,7,27,29,61,30,1,,Midfielder,Bundesliga
Jamaal Lascelles,ENG,Newcastle Utd,29,1993,12.0,14,9,7,7,0,6,11,54.5,5,17,12,5,5,19,42,0,,Defender,Premier League
Juanmi Latasa,ESP,Getafe,22,2001,17.3,9,7,0,6,3,1,11,9.1,10,9,0,9,4,13,21,0,,Forward,La Liga
Toni Lato,ESP,Mallorca,25,1997,17.2,38,23,19,13,6,16,27,59.3,11,17,3,14,17,55,27,0,,Defender,La Liga
Armand Lauriente,FRA,Sassuolo,24,1998,32.3,31,20,8,14,9,13,44,29.5,31,29,4,25,15,46,11,0,,Forward,Serie A
Roméo Lavia,BEL,Chelsea,19,2004,0.4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,Midfielder,Premier League
Lázaro,BRA,Almería,21,2002,3.2,4,1,2,0,2,2,8,25.0,6,4,0,4,1,5,1,0,Midfielder,Forward,La Liga
Valentino Lazaro,AUT,Torino,27,1996,22.2,18,11,7,9,2,13,19,68.4,6,14,1,13,8,26,29,0,Midfielder,Defender,Serie A
Darko Lazović,SRB,Hellas Verona,32,1990,21.4,26,16,11,6,9,16,31,51.6,15,10,1,9,6,32,14,0,Midfielder,Forward,Serie A
Manuel Lazzari,ITA,Lazio,29,1993,18.6,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,,Defender,Serie A
Théo Le Bris,FRA,Lorient,20,2002,16.8,35,22,25,7,3,19,40,47.5,21,24,3,21,12,47,42,0,Midfielder,Defender,Ligue 1
Julien Le Cardinal,FRA,Brest,25,1997,5.3,19,11,11,7,1,8,12,66.7,4,6,3,3,13,32,26,0,,Defender,Ligue 1
Julien Le Cardinal,FRA,Lens,25,1997,0.6,6,2,4,2,0,4,9,44.4,5,2,1,1,0,6,0,0,,Defender,Ligue 1
Jérémy Le Douaron,FRA,Brest,25,1998,18.0,21,10,7,9,5,11,26,42.3,15,14,1,13,2,23,10,0,,Forward,Ligue 1
Enzo Le Fée,FRA,Rennes,23,2000,17.0,50,35,23,17,10,23,47,48.9,24,17,3,14,19,69,20,0,,Midfielder,Ligue 1
Vincent Le Goff,FRA,Lorient,33,1989,6.0,5,0,4,0,1,4,8,50.0,4,11,3,8,3,8,10,0,Midfielder,Defender,Ligue 1
Robin Le Normand,ESP,Real Sociedad,26,1996,27.4,31,22,16,15,0,17,30,56.7,13,26,15,11,28,59,96,1,,Defender,La Liga
Nicola Leali,ITA,Genoa,30,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Serie A
Rafael Leão,POR,Milan,24,1999,27.9,16,10,3,8,5,8,13,61.5,5,15,1,14,9,25,19,0,,Forward,Serie A
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Adrien Lebeau,FRA,Brest,24,1999,0.6,0,0,0,0,0,0,3,0.0,3,2,1,1,0,0,1,0,Forward,Midfielder,Ligue 1
Jean-Louis Leca,FRA,Lens,37,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Goalkeeper,Ligue 1
Benjamin Lecomte,FRA,Montpellier,32,1991,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,16,1,,Goalkeeper,Ligue 1
Jeremías Ledesma,ARG,Cádiz,30,1993,33.9,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,15,3,,Goalkeeper,La Liga
Pierre Lees-Melou,FRA,Brest,30,1993,28.0,96,67,51,41,4,49,129,38.0,80,61,11,50,43,139,64,3,,Midfielder,Ligue 1
Diogo Leite,POR,Union Berlin,24,1999,30.0,52,36,31,15,6,25,51,49.0,26,48,22,26,47,99,155,1,,Defender,Bundesliga
Maxim Leitsch,GER,Mainz 05,25,1998,4.2,6,3,5,1,0,3,6,50.0,3,2,0,2,4,10,13,0,,Defender,Bundesliga
Florian Lejeune,FRA,Rayo Vallecano,32,1991,37.0,39,25,26,11,2,19,30,63.3,11,33,18,15,23,62,155,1,,Defender,La Liga
Stefan Lekovic,SRB,Villarreal,19,2004,0.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,Defender,La Liga
Iñigo Lekue,ESP,Athletic Club,30,1993,22.2,40,22,25,10,5,27,53,50.9,26,24,6,18,15,55,50,0,,Defender,La Liga
Thomas Lemar,FRA,Atlético Madrid,27,1995,1.8,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,,Midfielder,La Liga
Mario Lemina,GAB,Wolves,29,1993,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0,,Midfielder,Premier League
Álvaro Lemos,ESP,Las Palmas,30,1993,2.8,4,1,1,3,0,0,2,0.0,2,3,1,2,2,6,4,0,,Defender,La Liga
Ruben Lendinez,ESP,Valencia,20,2003,0.1,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,,Defender,La Liga
Clément Lenglet,FRA,Aston Villa,28,1995,12.8,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1,,Defender,Premier League
Bernd Leno,GER,Fulham,31,1992,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,,Goalkeeper,Premier League
Christopher Lenz,GER,RB Leipzig,28,1994,0.5,2,1,2,0,0,1,1,100.0,0,0,0,0,2,4,2,0,Midfielder,Defender,Bundesliga
Christopher Lenz,GER,Eint Frankfurt,28,1994,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,,Defender,Bundesliga
Johann Lepenant,FRA,Lyon,20,2002,2.8,4,3,2,2,0,1,8,12.5,7,5,0,5,4,8,0,0,,Midfielder,Ligue 1
Jefferson Lerma,COL,Crystal Palace,28,1994,26.7,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0,Defender,Midfielder,Premier League
Léo Leroy,FRA,Montpellier,23,2000,5.5,19,10,8,8,3,6,21,28.6,15,12,3,9,7,26,8,0,,Midfielder,Ligue 1
Robert Lewandowski,POL,Barcelona,34,1988,30.6,8,5,0,6,2,4,12,33.3,8,13,4,9,9,17,18,0,,Forward,La Liga
Jamie Leweling,GER,Stuttgart,22,2001,16.9,18,10,4,6,8,5,17,29.4,12,21,1,20,5,23,13,0,Midfielder,Forward,Bundesliga
Rico Lewis,ENG,Manchester City,18,2004,9.0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0,Midfielder,Defender,Premier League
Keane Lewis-Potter,ENG,Brentford,22,2001,16.0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0,Defender,Forward,Premier League
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Philipp Lienhart,AUT,Freiburg,27,1996,14.1,20,13,14,5,1,13,23,56.5,10,18,11,7,14,34,51,0,,Defender,Bundesliga
Matthijs de Ligt,NED,Bayern Munich,23,1999,15.4,15,12,4,8,3,6,11,54.5,5,14,10,4,19,34,52,0,,Defender,Bundesliga
Victor Lindelöf,SWE,Manchester Utd,29,1994,14.8,15,10,8,7,0,5,13,38.5,8,18,9,9,12,27,40,1,,Defender,Premier League
Jesper Lindstrøm,DEN,Napoli,23,2000,4.8,8,3,2,3,3,4,8,50.0,4,3,0,3,2,10,6,0,Midfielder,Forward,Serie A
Jesper Lindstrøm,DEN,Eint Frankfurt,23,2000,0.9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Forward,Bundesliga
Karol Linetty,POL,Torino,28,1995,20.6,30,21,9,20,1,9,29,31.0,20,24,8,16,23,53,27,1,,Midfielder,Serie A
Samuel Lino,BRA,Atlético Madrid,23,1999,23.1,61,34,32,17,12,35,70,50.0,35,37,1,36,14,75,27,0,Midfielder,Defender,La Liga
Luca Lipani,ITA,Sassuolo,18,2005,4.3,9,7,4,3,2,3,11,27.3,8,9,2,7,6,15,7,0,,Midfielder,Serie A
Pol Lirola,ESP,Frosinone,25,1997,17.1,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,,Defender,Serie A
Marcin Listkowski,POL,Lecce,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Forward,Serie A
Valentino Livramento,ENG,Newcastle Utd,20,2002,14.6,23,13,15,6,2,10,21,47.6,11,16,7,9,25,48,41,1,,Defender,Premier League
Dejan Ljubicic,AUT,Köln,25,1997,22.8,43,27,20,18,5,20,43,46.5,23,22,2,20,18,61,11,0,Forward,Midfielder,Bundesliga
Javier Llabrés,ESP,Mallorca,20,2002,2.7,3,1,1,1,1,1,2,50.0,1,1,0,1,3,6,4,0,Forward,Midfielder,La Liga
Diego Llorente,ESP,Roma,29,1993,24.1,31,19,20,10,1,11,24,45.8,13,40,27,13,22,53,79,0,,Defender,Serie A
Marcos Llorente,ESP,Atlético Madrid,28,1995,28.5,40,23,18,17,5,16,44,36.4,28,36,11,25,14,54,35,0,Defender,Midfielder,La Liga
Gautier Lloris,FRA,Le Havre,28,1995,30.9,50,28,40,9,1,28,42,66.7,14,50,30,20,32,82,142,1,,Defender,Ligue 1
Abou Lô,SEN,Metz,23,2000,2.2,3,1,2,1,0,1,4,25.0,3,5,2,3,4,7,8,0,Defender,Midfielder,Ligue 1
Giovani Lo Celso,ARG,Tottenham,27,1996,5.6,22,13,10,8,4,9,14,64.3,5,4,1,3,5,27,2,0,,Midfielder,Premier League
Stanislav Lobotka,SVK,Napoli,28,1994,36.5,61,39,18,30,13,24,60,40.0,36,30,8,22,30,91,29,0,,Midfielder,Serie A
Manuel Locatelli,ITA,Juventus,25,1998,33.4,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0,,Midfielder,Serie A
Bradley Locko,FRA,Brest,21,2002,32.9,97,55,57,34,6,47,80,58.8,33,28,1,27,40,137,69,0,,Defender,Ligue 1
Tom Lockyer,WAL,Luton Town,28,1994,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,,Defender,Premier League
Renan Lodi,BRA,Marseille,25,1998,13.7,24,16,8,13,3,13,21,61.9,8,7,2,5,16,40,35,0,,Defender,Ligue 1
Ruben Loftus-Cheek,ENG,Milan,27,1996,23.0,28,18,7,14,7,15,27,55.6,12,24,12,12,9,37,10,1,,Midfielder,Serie A
Andy Logbo,FRA,Le Havre,19,2004,2.8,0,0,0,0,0,0,3,0.0,3,7,3,4,0,0,2,0,,Forward,Ligue 1
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Enzo Loiodice,FRA,Las Palmas,22,2000,19.9,62,35,15,34,13,20,42,47.6,22,20,2,18,12,74,16,1,,Midfielder,La Liga
Sean Longstaff,ENG,Newcastle Utd,25,1997,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0,,Midfielder,Premier League
Ademola Lookman,NGA,Atalanta,25,1997,21.0,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1,Midfielder,Forward,Serie A
Noah Loosli,SUI,Bochum,26,1997,3.8,10,7,6,4,0,7,14,50.0,7,7,1,6,7,17,18,0,,Defender,Bundesliga
Anthony Lopes,POR,Lyon,32,1990,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,Goalkeeper,Ligue 1
David López,ESP,Girona,33,1989,21.8,33,20,21,12,0,17,22,77.3,5,28,19,9,20,53,63,4,,Defender,La Liga
Diego López,ESP,Valencia,21,2002,29.5,37,25,14,16,7,13,56,23.2,43,23,1,22,20,57,12,0,Forward,Midfielder,La Liga
Fermin López,ESP,Barcelona,20,2003,16.1,41,21,15,18,8,14,40,35.0,26,14,1,13,4,45,9,0,Forward,Midfielder,La Liga
Javi López,ESP,Alavés,21,2002,26.5,23,12,11,9,3,15,26,57.7,11,25,9,16,10,33,77,1,,Defender,La Liga
Maxime Lopez,FRA,Fiorentina,25,1997,8.9,18,9,5,10,3,6,12,50.0,6,3,1,2,7,25,6,0,,Midfielder,Serie A
Maxime Lopez,FRA,Sassuolo,25,1997,1.6,2,1,1,1,0,1,2,50.0,1,1,1,0,2,4,0,0,,Midfielder,Serie A
Pau López,ESP,Marseille,28,1994,32.7,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,1,,Goalkeeper,Ligue 1
Unai López,ESP,Rayo Vallecano,27,1995,23.4,48,24,18,23,7,21,53,39.6,32,24,3,21,16,64,15,2,,Midfielder,La Liga
