Player,Nation,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position_2,Position,League
Faride Alidou,GER,Köln,22,2001,14.2,10,4,3,6,1,4,18,22.2,14,23,2,21,8,18,15,1,Midfielder,Forward,Bundesliga
Player,,Squad,Ag,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,,Po,Bundesliga
Nabil Alioui,FRA,Le Havre,24,1999,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0,Forward,Midfielder,Ligue 1
Alisson,BRA,Liverpool,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4,,Goalkeeper,Premier League
Tadeo Allende,ARG,Celta Vigo,24,1999,3.7,6,1,3,2,1,4,6,66.7,2,3,0,3,3,9,3,0,Forward,Midfielder,La Liga
Jim Allevinah,GAB,Clermont Foot,28,1995,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0,Defender,Midfielder,Ligue 1
Domingos André Ribeiro Almeida,POR,Valencia,23,2000,10.7,25,15,9,12,4,9,19,47.4,10,13,1,12,6,31,5,0,Midfielder,Forward,La Liga
Miguel Almirón,PAR,Newcastle Utd,29,1994,21.5,36,24,13,15,8,11,29,37.9,18,29,2,27,10,46,13,0,,Forward,Premier League
Pontus Almqvist,SWE,Lecce,24,1999,23.4,45,29,16,22,7,23,51,45.1,28,21,2,19,14,59,10,0,Midfielder,Forward,Serie A
Marcos Alonso,ESP,Barcelona,32,1990,2.8,5,3,2,3,0,3,4,75.0,1,2,0,2,4,9,6,0,,Defender,La Liga
Adrià Altimira,ESP,Villarreal,22,2001,8.6,16,7,9,6,1,9,24,37.5,15,18,5,13,5,21,18,0,Midfielder,Defender,La Liga
Sergi Altimira,ESP,Betis,21,2001,6.3,15,8,8,6,1,11,23,47.8,12,12,1,11,9,24,10,0,,Midfielder,La Liga
Edson Álvarez,MEX,West Ham,25,1997,26.4,80,39,47,26,7,31,66,47.0,35,59,20,39,42,122,81,0,,Midfielder,Premier League
Gastón Álvarez,URU,Getafe,23,2000,28.2,68,37,43,20,5,37,57,64.9,20,40,11,29,35,103,80,0,,Defender,La Liga
Hugo Álvarez,ESP,Celta Vigo,20,2003,8.5,14,9,8,3,3,9,20,45.0,11,4,1,3,5,19,9,0,Defender,Midfielder,La Liga
Julián Álvarez,ARG,Manchester City,23,2000,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1,Forward,Midfielder,Premier League
Yeray Álvarez,ESP,Athletic Club,28,1995,12.8,18,9,15,3,0,12,19,63.2,7,8,5,3,11,29,34,1,,Defender,La Liga
Skelly Alvero,FRA,Lyon,21,2002,4.7,8,7,5,2,1,2,9,22.2,7,5,1,4,2,10,5,0,,Midfielder,Ligue 1
Skelly Alvero,FRA,Werder Bremen,21,2002,1.4,6,4,1,5,0,3,3,100.0,0,3,1,2,1,7,1,0,,Midfielder,Bundesliga
Papa Amadou Diallo,SEN,Metz,19,2004,9.9,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0,,Forward,Ligue 1
Selim Amallah,MAR,Valencia,26,1996,6.7,17,12,7,7,3,3,9,33.3,6,13,0,13,11,28,6,0,Midfielder,Forward,La Liga
Amath,SEN,Mallorca,27,1996,4.4,9,6,7,2,0,2,10,20.0,8,2,0,2,3,12,6,0,Midfielder,Forward,La Liga
Lorenzo Amatucci,ITA,Fiorentina,19,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Midfielder,Serie A
Jordan Amavi,FRA,Brest,29,1994,1.0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,2,0,,Defender,Ligue 1
Zeki Amdouni,SUI,Burnley,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0,,Forward,Premier League
Kelvin Amian,FRA,Nantes,25,1998,8.9,16,7,12,4,0,11,15,73.3,4,6,0,6,7,23,28,0,,Defender,Ligue 1
Bruno Amione,ARG,Hellas Verona,21,2002,6.4,11,3,9,2,0,4,5,80.0,1,4,2,2,9,20,19,2,,Defender,Serie A
