Player,Nation,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Position_2,Position,League
Rodrigo Bentancur,URU,Tottenham,26,1997,11.2,674,800,84.3,10011,2610,384,426,90.1,244,282,86.5,29,41,70.7,1,0.5,1.1,+0.5,8,69,11,1,72,,Midfielder,Premier League
Daniel Bentley,ENG,Wolves,30,1993,4.3,96,144,66.7,2347,1661,30,30,100.0,37,37,100.0,28,76,36.8,0,0.0,0.0,0.0,0,2,0,0,0,,Goalkeeper,Premier League
Lucas Beraldo,BRA,Paris S-G,19,2003,11.2,867,968,89.6,15514,5185,309,354,87.3,482,513,94.0,56,72,77.8,0,0.2,0.2,-0.2,4,65,2,0,44,,Defender,Ligue 1
Domenico Berardi,ITA,Sassuolo,28,1994,15.9,409,641,63.8,8116,2265,185,241,76.8,140,204,68.6,73,140,52.1,3,3.0,2.5,0.0,27,48,29,6,83,,Forward,Serie A
Yuri Berchiche,ESP,Athletic Club,33,1990,21.4,1078,1304,82.7,17241,6651,559,622,89.9,438,508,86.2,57,111,51.4,1,1.6,2.0,-0.6,14,103,16,9,132,,Defender,La Liga
Álex Berenguer,ESP,Athletic Club,28,1995,17.7,373,596,62.6,5881,1712,210,258,81.4,99,156,63.5,43,124,34.7,3,3.7,4.0,-0.7,33,10,17,10,30,,Forward,La Liga
Bartosz Bereszyński,POL,Empoli,31,1992,19.6,673,867,77.6,11383,5041,352,394,89.3,255,322,79.2,56,106,52.8,1,0.3,0.4,+0.7,8,60,7,3,69,,Defender,Serie A
Jóhann Berg Guðmundsson,ISL,Burnley,32,1990,13.2,396,544,72.8,7505,2234,164,184,89.1,159,203,78.3,61,124,49.2,3,2.7,2.5,+0.3,35,36,18,6,59,Forward,Midfielder,Premier League
Sander Berge,NOR,Burnley,25,1998,33.4,1376,1562,88.1,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,2,2.4,1.6,-0.4,29,129,16,1,164,,Midfielder,Premier League
Etrit Berisha,ALB,Empoli,34,1989,14.0,339,494,68.6,8491,5766,73,73,100.0,184,188,97.9,81,228,35.5,0,0.0,0.0,0.0,0,6,0,0,0,,Goalkeeper,Serie A
Medon Berisha,ALB,Lecce,19,2003,2.3,84,98,85.7,1578,419,34,36,94.4,36,43,83.7,10,14,71.4,0,0.2,0.2,-0.2,5,7,2,0,7,Midfielder,Forward,Serie A
Mergim Berisha,GER,Hoffenheim,25,1998,1.6,22,33,66.7,290,91,11,15,73.3,7,10,70.0,1,2,50.0,0,0.3,0.1,-0.3,2,2,1,0,3,,Forward,Bundesliga
Mergim Berisha,GER,Augsburg,25,1998,1.4,10,14,71.4,142,73,6,8,75.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,2,1,1,1,1,,Forward,Bundesliga
Isaac Bernal,ESP,Sevilla,23,2000,11.5,146,209,69.9,1949,319,83,105,79.0,46,64,71.9,5,12,41.7,4,1.7,1.0,+2.3,11,9,9,1,16,,Forward,La Liga
Bernardo,BRA,Bochum,28,1995,32.5,1167,1622,71.9,20655,8434,528,639,82.6,495,651,76.0,118,240,49.2,0,0.5,1.3,-0.5,13,122,14,10,127,,Defender,Bundesliga
Victor Bernth Kristiansen,DEN,Bologna,20,2002,25.6,1422,1688,84.2,21913,8191,776,838,92.6,548,643,85.2,60,130,46.2,3,2.4,1.3,+0.6,23,111,22,7,123,,Defender,Serie A
Matúš Bero,SVK,Bochum,27,1995,18.5,355,535,66.4,5487,1750,181,241,75.1,129,181,71.3,26,53,49.1,1,1.3,1.9,-0.3,11,37,11,2,48,Forward,Midfielder,Bundesliga
Luke Berry,ENG,Luton Town,31,1992,3.6,64,99,64.6,984,310,38,45,84.4,18,32,56.3,6,15,40.0,1,0.3,0.1,+0.7,2,5,0,0,8,Defender,Midfielder,Premier League
Dimitry Bertaud,COD,Montpellier,25,1998,4.0,91,142,64.1,2762,1980,10,10,100.0,46,47,97.9,35,84,41.7,0,0.0,0.0,0.0,0,3,0,0,0,,Goalkeeper,Ligue 1
Jan-Niklas Beste,GER,Heidenheim,24,1999,28.9,543,947,57.3,10762,4487,242,316,76.6,168,292,57.5,116,256,45.3,11,5.7,6.3,+5.3,70,26,30,17,57,Midfielder,Forward,Bundesliga
Beto,GNB,Everton,25,1998,10.6,108,180,60.0,1451,323,66,98,67.3,34,53,64.2,5,7,71.4,0,0.9,0.3,-0.9,11,7,6,0,14,,Forward,Premier League
Beto,GNB,Udinese,25,1998,0.8,10,11,90.9,128,26,7,8,87.5,3,3,100.0,0,0,0,0,0.3,0.0,-0.3,6,1,0,0,2,,Forward,Serie A
