Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Ola Aina,NGA,Nott'ham Forest,26,1996,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7,,Defender,Premier League
Rayan Aït-Nouri,ALG,Wolves,22,2001,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,Midfielder,Defender,Premier League
Tosin Aiyegun,BEN,Lorient,25,1998,10.0,2,11,3,27.3,1.10,0.30,0.18,0.67,22.7,0,0,0,1.8,1.8,0.17,+0.2,+0.2,Forward,Midfielder,Ligue 1
Kristoffer Ajer,NOR,Brentford,25,1998,20.4,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7,,Defender,Premier League
Ludovic Ajorque,FRA,Mainz 05,29,1994,15.1,2,27,6,22.2,1.79,0.40,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7,,Forward,Bundesliga
Manuel Akanji,SUI,Manchester City,28,1995,27.9,2,15,5,33.3,0.54,0.18,0.13,0.40,17.0,0,0,0,1.9,1.9,0.13,+0.1,+0.1,Midfielder,Defender,Premier League
Marley Aké,FRA,Udinese,22,2001,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Serie A
Nathan Aké,NED,Manchester City,28,1995,22.7,2,20,5,25.0,0.88,0.22,0.10,0.40,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,,Defender,Premier League
Ilias Akhomach,MAR,Villarreal,19,2004,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Forward,Midfielder,La Liga
Sergio Akieme,ESP,Almería,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.40,17.4,0,0,0,1.2,1.2,0.13,+0.8,+0.8,,Defender,La Liga
Sergio Akieme,ESP,Reims,25,1997,9.1,2,11,2,18.2,1.21,0.22,0.18,1.00,18.3,0,0,0,1.4,1.4,0.13,+0.6,+0.6,,Defender,Ligue 1
Ebenezer Akinsanmiro,NGA,Inter,18,2004,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Serie A
Maghnes Akliouche,FRA,Monaco,21,2002,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,+1.6,+1.6,Forward,Midfielder,Ligue 1
Paul Akouokou,CIV,Betis,25,1997,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,La Liga
Paul Akouokou,CIV,Lyon,25,1997,3.4,0,2,0,0.0,0.59,0.00,0.00,0,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Midfielder,Ligue 1
Jean-Daniel Akpa-Akpro,CIV,Monza,30,1992,7.8,0,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,,Midfielder,Serie A
David Akpan Ankeye,NGA,Genoa,21,2002,0.6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Serie A
Kevin Akpoguma,NGA,Hoffenheim,28,1995,12.2,0,2,0,0.0,0.16,0.00,0.00,0,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,,Defender,Bundesliga
David Alaba,AUT,Real Madrid,31,1992,12.8,0,14,3,21.4,1.09,0.23,0.00,0.00,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0,,Defender,La Liga
Luis Alberto,ESP,Lazio,30,1992,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,+0.3,+0.3,,Midfielder,Serie A
Raúl Albiol,ESP,Villarreal,37,1985,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,,Defender,La Liga
Thiago Alcántara,ESP,Liverpool,32,1991,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Premier League
Carlos Alcaraz,ARG,Juventus,20,2002,4.2,0,11,2,18.2,2.61,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4,,Midfielder,Serie A
Rubén Alcaraz,ESP,Cádiz,32,1991,34.8,3,46,10,21.7,1.32,0.29,0.02,0.10,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7,,Midfielder,La Liga
Omar Alderete,PAR,Getafe,26,1996,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2,,Defender,La Liga
Iván Alejo,ESP,Cádiz,28,1995,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,,Midfielder,La Liga
Carles Aleñá,ESP,Getafe,25,1998,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,18.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,,Midfielder,La Liga
Trent Alexander-Arnold,ENG,Liverpool,24,1998,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7,,Defender,Premier League
Aboubacar Ali,FRA,Strasbourg,17,2006,1.4,0,4,2,50.0,2.77,1.38,0.00,0.00,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Forward,Midfielder,Ligue 1
Mohamed Ali Cho,FRA,Real Sociedad,19,2004,2.8,0,3,0,0.0,1.08,0.00,0.00,0,17.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Midfielder,Forward,La Liga
Mohamed Ali Cho,FRA,Nice,19,2004,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1,,Forward,Ligue 1
Faride Alidou,GER,Köln,22,2001,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,+1.0,+1.0,Midfielder,Forward,Bundesliga
Nabil Alioui,FRA,Le Havre,24,1999,11.2,4,28,9,32.1,2.50,0.80,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,+1.6,+1.6,Forward,Midfielder,Ligue 1
Alisson,BRA,Liverpool,30,1992,28.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Premier League
Tadeo Allende,ARG,Celta Vigo,24,1999,3.7,1,8,2,25.0,2.14,0.54,0.13,0.50,17.4,0,0,0,1.2,1.2,0.16,-0.2,-0.2,Forward,Midfielder,La Liga
Jim Allevinah,GAB,Clermont Foot,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6,Defender,Midfielder,Ligue 1
Domingos André Ribeiro Almeida,POR,Valencia,23,2000,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Midfielder,Forward,La Liga
Miguel Almirón,PAR,Newcastle Utd,29,1994,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5,,Forward,Premier League
Pontus Almqvist,SWE,Lecce,24,1999,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3,Midfielder,Forward,Serie A
Marcos Alonso,ESP,Barcelona,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.00,0.00,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Defender,La Liga
Adrià Altimira,ESP,Villarreal,22,2001,8.6,0,1,0,0.0,0.12,0.00,0.00,0,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Midfielder,Defender,La Liga
Sergi Altimira,ESP,Betis,21,2001,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8,,Midfielder,La Liga
Edson Álvarez,MEX,West Ham,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,,Midfielder,Premier League
Gastón Álvarez,URU,Getafe,23,2000,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0,0,0,0.7,0.7,0.05,+1.3,+1.3,,Defender,La Liga
Hugo Álvarez,ESP,Celta Vigo,20,2003,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,13.9,0,0,0,1.0,1.0,0.09,0.0,0.0,Defender,Midfielder,La Liga
