Player,Nation,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Position_2,Position,League
Pablo Maffeo,ESP,Mallorca,26,1997,16.2,1,11,4,36.4,0.68,0.25,0.09,0.25,23.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,,Defender,La Liga
Gabriel Magalhães,BRA,Arsenal,25,1997,33.8,4,31,10,32.3,0.92,0.30,0.13,0.40,7.9,0,0,0,4.3,4.3,0.14,-0.3,-0.3,,Defender,Premier League
Soungoutou Magassa,FRA,Monaco,19,2003,15.0,0,8,2,25.0,0.53,0.13,0.00,0.00,19.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Midfielder,Defender,Ligue 1
Giulio Maggiore,ITA,Salernitana,25,1998,20.0,4,23,10,43.5,1.15,0.50,0.17,0.40,14.2,0,0,0,2.3,2.3,0.10,+1.7,+1.7,,Midfielder,Serie A
Matej Maglica,CRO,Darmstadt 98,24,1998,18.9,1,10,2,20.0,0.53,0.11,0.10,0.50,20.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4,,Defender,Bundesliga
Giangiacomo Magnani,ITA,Hellas Verona,27,1995,27.2,0,11,2,18.2,0.41,0.07,0.00,0.00,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,,Defender,Serie A
Hugo Magnetti,FRA,Brest,25,1998,26.0,2,36,10,27.8,1.38,0.38,0.06,0.20,23.9,0,0,0,2.4,2.4,0.07,-0.4,-0.4,,Midfielder,Ligue 1
Yohann Magnin,FRA,Clermont Foot,26,1997,18.7,1,14,5,35.7,0.75,0.27,0.07,0.20,14.2,0,0,0,1.6,1.6,0.12,-0.6,-0.6,,Midfielder,Ligue 1
Frank Magri,CMR,Toulouse,23,1999,16.0,5,41,14,34.1,2.57,0.88,0.12,0.36,16.3,0,0,0,3.1,3.1,0.07,+1.9,+1.9,Midfielder,Forward,Ligue 1
Harry Maguire,ENG,Manchester Utd,30,1993,18.4,2,20,3,15.0,1.09,0.16,0.10,0.67,11.5,0,0,0,2.0,2.0,0.10,0.0,0.0,,Defender,Premier League
Jon Magunacelaya,ESP,Real Sociedad,23,2000,1.3,0,4,0,0.0,2.98,0.00,0.00,0,15.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Midfielder,Forward,La Liga
Adel Mahamoud,COM,Nantes,20,2003,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Ligue 1
Arne Maier,GER,Augsburg,24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.40,22.2,3,0,0,1.5,1.5,0.07,+0.5,+0.5,,Midfielder,Bundesliga
Habib Maïga,CIV,Metz,27,1996,1.6,0,2,0,0.0,1.22,0.00,0.00,0,9.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Forward,Midfielder,Ligue 1
Mike Maignan,FRA,Milan,28,1995,29.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Linton Maina,GER,Köln,24,1999,21.1,1,33,11,33.3,1.56,0.52,0.03,0.09,19.8,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Midfielder,Forward,Bundesliga
Patrick Mainka,GER,Heidenheim,28,1994,34.0,2,29,6,20.7,0.85,0.18,0.07,0.33,9.4,0,0,0,3.2,3.2,0.11,-1.2,-1.2,,Defender,Bundesliga
Kobbie Mainoo,ENG,Manchester Utd,18,2005,21.4,3,11,5,45.5,0.51,0.23,0.27,0.60,21.1,0,0,0,0.9,0.9,0.08,+2.1,+2.1,,Midfielder,Premier League
Ainsley Maitland-Niles,ENG,Lyon,25,1997,15.9,1,17,5,29.4,1.07,0.31,0.00,0.00,13.9,0,1,1,3.0,2.2,0.16,-2.0,-2.2,Midfielder,Defender,Ligue 1
Radosław Majecki,POL,Monaco,23,1999,12.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Ligue 1
Lovro Majer,CRO,Rennes,25,1998,0.2,0,1,0,0.0,5.63,0.00,0.00,0,22.0,0,0,0,0.0,0.0,0.03,0.0,0.0,,Midfielder,Ligue 1
Lovro Majer,CRO,Wolfsburg,25,1998,23.4,5,35,10,28.6,1.50,0.43,0.09,0.30,21.1,2,2,2,5.4,3.8,0.11,-0.4,-0.8,Forward,Midfielder,Bundesliga
Jean-Victor Makengo,FRA,Lorient,25,1998,5.3,0,5,2,40.0,0.94,0.38,0.00,0.00,25.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Forward,Midfielder,Ligue 1
Jordy Makengo,FRA,Freiburg,21,2001,11.4,0,3,0,0.0,0.26,0.00,0.00,0,16.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,,Defender,Bundesliga
Antoine Makoumbou,CGO,Cagliari,25,1998,30.0,1,8,2,25.0,0.27,0.07,0.13,0.50,21.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3,,Midfielder,Serie A
Nemanja Maksimović,SRB,Getafe,28,1995,36.3,4,34,15,44.1,0.94,0.41,0.12,0.27,11.7,0,0,0,5.5,5.5,0.16,-1.5,-1.5,,Midfielder,La Liga
Julián Malatini,ARG,Werder Bremen,22,2001,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,19.3,0,0,0,1.0,1.0,0.33,0.0,0.0,,Defender,Bundesliga
Daniel Maldini,ITA,Monza,21,2001,3.7,4,12,5,41.7,3.24,1.35,0.33,0.80,20.0,1,0,0,1.3,1.3,0.11,+2.7,+2.7,Forward,Midfielder,Serie A
Daniel Maldini,ITA,Empoli,21,2001,2.9,0,9,2,22.2,3.08,0.68,0.00,0.00,26.4,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Midfielder,Forward,Serie A
Youssef Maleh,MAR,Empoli,24,1998,28.9,0,18,2,11.1,0.62,0.07,0.00,0.00,20.1,2,0,0,1.6,1.6,0.09,-1.6,-1.6,,Midfielder,Serie A
Donyell Malen,NED,Dortmund,24,1999,19.8,13,72,36,50.0,3.64,1.82,0.18,0.36,16.5,2,0,0,9.5,9.5,0.14,+3.5,+3.5,Midfielder,Forward,Bundesliga
Ruslan Malinovskyi,UKR,Genoa,30,1993,17.2,4,39,13,33.3,2.27,0.76,0.10,0.31,29.6,10,0,0,1.1,1.1,0.03,+2.9,+2.9,,Midfielder,Serie A
Lennard Maloney,USA,Heidenheim,23,1999,25.4,1,14,3,21.4,0.55,0.12,0.07,0.33,16.2,0,0,0,0.8,0.8,0.05,+0.2,+0.2,,Midfielder,Bundesliga
Aaron Malouda,FRA,Lille,17,2005,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Ligue 1
Giorgi Mamardashvili,GEO,Valencia,22,2000,36.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
David Mamutovic,GER,Mainz 05,22,2000,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Defender,Forward,Bundesliga
Wilson Manafá,POR,Granada,29,1994,2.7,0,1,0,0.0,0.37,0.00,0.00,0,29.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Midfielder,Defender,La Liga
Hianga Mananga Mbock,FRA,Brest,23,1999,0.1,0,1,0,0.0,10.00,0.00,0.00,0,12.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Forward,Midfielder,Ligue 1
Gianluca Mancini,ITA,Roma,27,1996,31.9,4,19,7,36.8,0.60,0.22,0.21,0.57,12.2,0,0,0,1.9,1.9,0.10,+2.1,+2.1,,Defender,Serie A
Marco Mancosu,ITA,Cagliari,34,1988,1.7,0,6,0,0.0,3.46,0.00,0.00,0,29.7,1,0,1,1.2,0.5,0.08,-1.2,-0.5,Forward,Midfielder,Serie A
Steve Mandanda,FRA,Rennes,38,1985,34.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Ligue 1
Christos Mandas,GRE,Lazio,21,2001,8.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Reinildo Mandava,MOZ,Atlético Madrid,29,1994,8.1,2,5,3,60.0,0.62,0.37,0.40,0.67,10.4,0,0,0,0.9,0.9,0.17,+1.1,+1.1,,Defender,La Liga
Aïssa Mandi,ALG,Villarreal,31,1991,12.4,1,4,2,50.0,0.32,0.16,0.25,0.50,12.8,0,0,0,0.6,0.6,0.16,+0.4,+0.4,,Defender,La Liga
Rolando Mandragora,ITA,Fiorentina,26,1997,17.6,3,30,11,36.7,1.70,0.62,0.10,0.27,20.6,1,0,0,3.5,3.5,0.12,-0.5,-0.5,,Midfielder,Serie A
Orel Mangala,BEL,Nott'ham Forest,25,1998,17.4,1,10,1,10.0,0.58,0.06,0.10,1.00,18.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2,,Midfielder,Premier League
Orel Mangala,BEL,Lyon,25,1998,4.4,2,5,2,40.0,1.13,0.45,0.40,1.00,17.0,0,0,0,1.0,1.0,0.20,+1.0,+1.0,,Midfielder,Ligue 1
Vito Mannone,ITA,Lille,35,1988,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Ligue 1
Kostas Manolas,GRE,Salernitana,32,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,0,9.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,,Defender,Serie A
Javier Manquillo,ESP,Celta Vigo,29,1994,8.3,0,1,0,0.0,0.12,0.00,0.00,0,13.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Midfielder,Defender,La Liga
Braydon Manu,GHA,Darmstadt 98,26,1997,1.9,0,5,1,20.0,2.63,0.53,0.00,0.00,14.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,,Midfielder,Bundesliga
Benson Manuel,ANG,Burnley,26,1997,1.3,0,4,2,50.0,3.10,1.55,0.00,0.00,24.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Forward,Midfielder,Premier League
Faitout Maouassa,FRA,Granada,25,1998,2.5,0,5,0,0.0,1.97,0.00,0.00,0,20.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Midfielder,Defender,La Liga
Faitout Maouassa,FRA,Lens,25,1998,0.8,0,3,2,66.7,3.55,2.37,0.00,0.00,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,Midfielder,Ligue 1
Marcão,BRA,Sevilla,27,1996,3.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,La Liga
Solly March,ENG,Brighton,29,1994,6.2,3,14,6,42.9,2.27,0.97,0.21,0.50,16.6,1,0,0,2.0,2.0,0.14,+1.0,+1.0,Defender,Forward,Premier League
Riccardo Marchizza,ITA,Frosinone,25,1998,12.8,0,8,3,37.5,0.63,0.24,0.00,0.00,24.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,,Defender,Serie A
Gian Marco Ferrari,ITA,Sassuolo,31,1992,25.2,1,16,6,37.5,0.63,0.24,0.06,0.17,12.2,0,0,0,1.6,1.6,0.10,-0.6,-0.6,,Defender,Serie A
Óscar de Marcos,ESP,Athletic Club,34,1989,25.1,1,5,2,40.0,0.20,0.08,0.20,0.50,15.7,0,0,0,0.6,0.6,0.13,+0.4,+0.4,,Defender,La Liga
Alberto Marí,ESP,Valencia,22,2001,3.1,1,6,2,33.3,1.96,0.65,0.00,0.00,11.4,0,1,1,1.8,1.2,0.20,-0.8,-1.2,,Forward,La Liga
José Mari,ESP,Cádiz,35,1987,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Forward,Midfielder,La Liga
Pablo Marí,ESP,Monza,29,1993,29.1,0,8,1,12.5,0.28,0.03,0.00,0.00,13.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,,Defender,Serie A
José María Giménez,URU,Atlético Madrid,28,1995,14.7,0,7,1,14.3,0.48,0.07,0.00,0.00,12.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,,Defender,La Liga
Mariano,DOM,Sevilla,29,1993,2.7,0,14,2,14.3,5.16,0.74,0.00,0.00,14.7,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Midfielder,Forward,La Liga
Mirko Marić,CRO,Monza,28,1995,3.2,1,7,2,28.6,2.20,0.63,0.14,0.50,10.4,0,0,0,0.9,0.9,0.12,+0.1,+0.1,,Forward,Serie A
Rafa Marín,ESP,Alavés,21,2002,27.1,0,13,3,23.1,0.48,0.11,0.00,0.00,14.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,,Defender,La Liga
Răzvan Marin,ROU,Empoli,27,1996,20.2,0,35,9,25.7,1.73,0.45,0.00,0.00,29.7,10,0,0,1.1,1.1,0.03,-1.1,-1.1,,Midfielder,Serie A
Diego Mariño,ESP,Almería,33,1990,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
Guillermo Maripán,CHI,Monaco,29,1994,19.6,1,11,5,45.5,0.56,0.25,0.09,0.20,16.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,,Defender,Ligue 1
Mika Màrmol,ESP,Las Palmas,21,2002,35.3,0,3,0,0.0,0.08,0.00,0.00,0,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,,Defender,La Liga
Omar Marmoush,EGY,Eint Frankfurt,24,1999,25.6,12,77,31,40.3,3.01,1.21,0.13,0.32,17.6,5,2,2,11.6,10.1,0.13,+0.4,-0.1,Midfielder,Forward,Bundesliga
Marquinhos,BRA,Nantes,20,2003,1.7,0,5,1,20.0,2.92,0.58,0.00,0.00,20.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Midfielder,Forward,Ligue 1
Marquinhos,BRA,Paris S-G,29,1994,17.1,0,4,0,0.0,0.23,0.00,0.00,0,6.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,,Defender,Ligue 1
Unai Marrero,ESP,Real Sociedad,21,2001,1.6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
Agustín Martegani,ARG,Salernitana,23,2000,8.1,1,15,4,26.7,1.85,0.49,0.07,0.25,24.3,0,0,0,0.6,0.6,0.04,+0.4,+0.4,,Midfielder,Serie A
Eric Martel,GER,Köln,21,2002,27.3,1,27,9,33.3,0.99,0.33,0.04,0.11,18.9,0,0,0,2.2,2.2,0.09,-1.2,-1.2,,Midfielder,Bundesliga
Roger Martí,ESP,Cádiz,32,1991,15.1,2,33,12,36.4,2.19,0.79,0.06,0.17,17.8,0,0,0,2.8,2.8,0.08,-0.8,-0.8,,Forward,La Liga
Anthony Martial,FRA,Manchester Utd,27,1995,5.0,1,6,4,66.7,1.21,0.80,0.17,0.25,12.9,0,0,0,1.2,1.2,0.20,-0.2,-0.2,,Forward,Premier League
Aarón Martín,ESP,Genoa,26,1997,15.3,0,5,0,0.0,0.33,0.00,0.00,0,24.8,2,0,0,0.2,0.2,0.03,-0.2,-0.2,,Defender,Serie A
Iván Martín,ESP,Girona,24,1999,30.3,5,19,11,57.9,0.63,0.36,0.26,0.45,16.4,0,0,0,2.9,2.9,0.15,+2.1,+2.1,,Midfielder,La Liga
Jon Martin,ESP,Real Sociedad,17,2006,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,La Liga
Jonas Martin,FRA,Brest,33,1990,13.4,0,10,3,30.0,0.75,0.22,0.00,0.00,17.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,,Midfielder,Ligue 1
Mario Martín,ESP,Real Madrid,19,2004,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,La Liga
Gabriel Martinelli,BRA,Arsenal,22,2001,22.4,6,58,20,34.5,2.59,0.89,0.10,0.30,15.6,0,0,0,6.8,6.8,0.12,-0.8,-0.8,,Forward,Premier League
Tommaso Martinelli,ITA,Fiorentina,17,2006,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,,Goalkeeper,Serie A
Arnau Martinez,ESP,Girona,20,2003,13.8,0,1,0,0.0,0.07,0.00,0.00,0,7.9,0,0,0,0.2,0.2,0.20,-0.2,-0.2,,Defender,La Liga
Emiliano Martínez,ARG,Aston Villa,30,1992,33.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Premier League
Iñigo Martínez,ESP,Barcelona,32,1991,14.4,0,8,1,12.5,0.56,0.07,0.00,0.00,11.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,,Defender,La Liga
Josep Martinez,ESP,Genoa,25,1998,36.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Serie A
Lautaro Martínez,ARG,Inter,25,1997,29.5,24,105,44,41.9,3.56,1.49,0.21,0.50,14.2,0,2,3,17.6,15.3,0.15,+6.4,+6.7,,Forward,Serie A
Lisandro Martínez,ARG,Manchester Utd,25,1998,7.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Defender,Premier League
Marc Martínez,ESP,Granada,33,1990,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
Lucas Martínez Quarta,ARG,Fiorentina,27,1996,25.5,5,24,7,29.2,0.94,0.27,0.21,0.71,10.2,0,0,0,2.7,2.7,0.11,+2.3,+2.3,,Defender,Serie A
Adam Marušić,MNE,Lazio,30,1992,34.4,1,8,3,37.5,0.23,0.09,0.13,0.33,19.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,,Defender,Serie A
Marvin,ESP,Las Palmas,23,2000,20.6,0,14,3,21.4,0.68,0.15,0.00,0.00,17.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Defender,Forward,La Liga
Omar Mascarell,EQG,Mallorca,30,1993,17.5,0,6,0,0.0,0.34,0.00,0.00,0,21.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,,Midfielder,La Liga
Adam Masina,MAR,Udinese,29,1994,0.7,0,1,1,100.0,1.41,1.41,0.00,0.00,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,,Defender,Serie A
Adam Masina,MAR,Torino,29,1994,11.4,0,5,1,20.0,0.44,0.09,0.00,0.00,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,,Defender,Serie A
Erhan Mašović,SRB,Bochum,24,1998,24.7,0,17,3,17.6,0.69,0.12,0.00,0.00,21.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Midfielder,Defender,Bundesliga
Han-Noah Massengo,FRA,Burnley,22,2001,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Defender,Midfielder,Premier League
Roberto Massimo,GER,Stuttgart,22,2000,0.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Defender,Forward,Bundesliga
Clinton Mata,ANG,Lyon,30,1992,24.7,0,14,0,0.0,0.57,0.00,0.00,0,24.3,3,0,0,0.6,0.6,0.04,-0.6,-0.6,,Defender,Ligue 1
Jaime Mata,ESP,Getafe,34,1988,19.9,5,32,12,37.5,1.61,0.60,0.16,0.42,13.8,0,0,0,5.6,5.6,0.18,-0.6,-0.6,Midfielder,Forward,La Liga
Pape Matar Sarr,SEN,Tottenham,20,2002,23.0,3,36,13,36.1,1.57,0.57,0.08,0.23,17.6,0,0,0,3.4,3.4,0.10,-0.4,-0.4,,Midfielder,Premier League
Eliot Matazo,BEL,Monaco,21,2002,1.1,0,1,1,100.0,0.88,0.88,0.00,0.00,22.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,,Midfielder,Ligue 1
Jean-Philippe Mateta,FRA,Crystal Palace,26,1997,25.4,16,44,25,56.8,1.74,0.99,0.32,0.56,12.7,0,2,2,10.9,9.4,0.21,+5.1,+4.6,,Forward,Premier League
Nemanja Matić,SRB,Rennes,34,1988,11.4,0,5,1,20.0,0.44,0.09,0.00,0.00,30.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,,Midfielder,Ligue 1
Nemanja Matić,SRB,Lyon,34,1988,13.9,0,6,2,33.3,0.43,0.14,0.00,0.00,20.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,,Midfielder,Ligue 1
Joël Matip,CMR,Liverpool,31,1991,8.7,0,5,0,0.0,0.58,0.00,0.00,0,10.6,0,0,0,0.5,0.5,0.10,-0.5,-0.5,,Defender,Premier League
Alex Matos,ENG,Chelsea,18,2004,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Premier League
Chrislain Matsima,FRA,Clermont Foot,21,2002,13.1,1,5,2,40.0,0.38,0.15,0.20,0.50,24.0,0,0,0,0.2,0.2,0.03,+0.8,+0.8,,Defender,Ligue 1
Chrislain Matsima,FRA,Monaco,21,2002,3.3,0,2,0,0.0,0.60,0.00,0.00,0,8.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,,Defender,Ligue 1
Jean Mattéo Bahoya,FRA,Eint Frankfurt,18,2005,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Forward,Midfielder,Bundesliga
Remi Matthews,ENG,Crystal Palace,29,1994,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,Premier League
Alan Matturro,URU,Genoa,18,2004,1.2,0,1,0,0.0,0.85,0.00,0.00,0,7.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,,Defender,Serie A
Azor Matusiwa,NED,Reims,25,1998,15.4,1,12,2,16.7,0.78,0.13,0.08,0.50,21.1,0,0,0,0.7,0.7,0.05,+0.3,+0.3,,Midfielder,Ligue 1
Azor Matusiwa,NED,Rennes,25,1998,8.8,0,6,1,16.7,0.68,0.11,0.00,0.00,18.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,,Midfielder,Ligue 1
Neal Maupay,FRA,Brentford,26,1996,14.7,6,37,14,37.8,2.52,0.95,0.16,0.43,15.3,1,0,0,5.7,5.7,0.16,+0.3,+0.3,,Forward,Premier League
Neal Maupay,FRA,Everton,26,1996,1.2,0,5,4,80.0,4.05,3.24,0.00,0.00,12.5,0,0,0,1.4,1.4,0.29,-1.4,-1.4,,Forward,Premier League
Aïman Maurer,MAR,Clermont Foot,18,2004,0.6,0,3,1,33.3,4.82,1.61,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Forward,Midfielder,Ligue 1
Konstantinos Mavropanos,GRE,West Ham,25,1997,16.7,1,12,2,16.7,0.72,0.12,0.08,0.50,9.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,,Defender,Premier League
Christian Mawissa,FRA,Toulouse,18,2005,12.4,2,5,2,40.0,0.40,0.16,0.40,1.00,13.1,0,0,0,1.0,1.0,0.19,+1.0,+1.0,,Defender,Ligue 1
Philipp Max,GER,Eint Frankfurt,29,1993,15.0,1,8,2,25.0,0.53,0.13,0.13,0.50,24.2,0,0,0,0.2,0.2,0.03,+0.8,+0.8,,Defender,Bundesliga
Eric Maxim Choupo-Moting,CMR,Bayern Munich,34,1989,8.0,2,26,11,42.3,3.26,1.38,0.08,0.18,12.5,0,0,0,4.5,4.5,0.17,-2.5,-2.5,Forward,Midfielder,Bundesliga
Luís Maximiano,POR,Almería,24,1999,33.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Goalkeeper,La Liga
Noam Mayoka-Tika,BEL,Marseille,19,2003,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Midfielder,Ligue 1
Borja Mayoral,ESP,Getafe,26,1997,23.9,15,43,23,53.5,1.80,0.96,0.26,0.48,15.8,0,4,4,11.9,8.7,0.20,+3.1,+2.3,,Forward,La Liga
Senny Mayulu,FRA,Paris S-G,17,2006,3.6,0,3,0,0.0,0.83,0.00,0.00,0,23.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Midfielder,Forward,Ligue 1
Youssef Maziz,FRA,Metz,25,1998,1.4,1,3,1,33.3,2.18,0.73,0.33,1.00,19.4,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Midfielder,Forward,Ligue 1
Noussair Mazraoui,MAR,Bayern Munich,25,1997,13.3,0,12,3,25.0,0.90,0.23,0.00,0.00,19.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9,,Defender,Bundesliga
Luca Mazzitelli,ITA,Frosinone,27,1995,24.6,5,49,18,36.7,2.00,0.73,0.10,0.28,23.0,3,0,0,2.3,2.3,0.05,+2.7,+2.7,,Midfielder,Serie A
Pasquale Mazzocchi,ITA,Salernitana,28,1995,14.1,0,8,1,12.5,0.57,0.07,0.00,0.00,28.6,1,0,0,0.3,0.3,0.04,-0.3,-0.3,,Defender,Serie A
Pasquale Mazzocchi,ITA,Napoli,28,1995,4.8,0,5,1,20.0,1.05,0.21,0.00,0.00,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,,Defender,Serie A
Kevin Mbabu,SUI,Augsburg,28,1995,22.7,0,4,1,25.0,0.18,0.04,0.00,0.00,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,,Defender,Bundesliga
Noah Mbamba,BEL,Leverkusen,18,2005,0.2,0,1,0,0.0,5.63,0.00,0.00,0,26.7,0,0,0,0.0,0.0,0.03,0.0,0.0,,Midfielder,Bundesliga
Ethan Mbappé,FRA,Paris S-G,16,2006,0.5,0,2,1,50.0,3.75,1.87,0.00,0.00,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Defender,Midfielder,Ligue 1
Kylian Mbappé,FRA,Paris S-G,24,1998,24.0,27,112,50,44.6,4.67,2.09,0.19,0.42,18.3,2,6,8,21.0,14.5,0.13,+6.0,+6.5,,Forward,Ligue 1
Malick Mbaye,SEN,Metz,19,2004,1.7,0,4,0,0.0,2.35,0.00,0.00,0,18.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Forward,Midfielder,Ligue 1
Mamadou Mbaye,SEN,Cádiz,25,1998,3.2,0,2,1,50.0,0.62,0.31,0.00,0.00,7.9,0,0,0,0.3,0.3,0.17,-0.3,-0.3,,Defender,La Liga
Chancel Mbemba,COD,Marseille,28,1994,24.5,2,19,2,10.5,0.77,0.08,0.11,1.00,10.3,0,0,0,1.8,1.8,0.10,+0.2,+0.2,,Defender,Ligue 1
Nolan Mbemba,CGO,Le Havre,28,1995,0.2,1,2,1,50.0,8.18,4.09,0.50,1.00,27.1,0,0,0,0.0,0.0,0.02,+1.0,+1.0,,Midfielder,Ligue 1
Bryan Mbeumo,CMR,Brentford,23,1999,21.8,9,50,16,32.0,2.30,0.73,0.12,0.38,17.1,4,3,3,9.8,7.4,0.15,-0.8,-1.4,,Forward,Premier League
Christ Mbondi,FRA,Reims,18,2004,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,,Forward,Ligue 1
