Player,Nation,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Position_2,Position,League
Abdoul Koné,FRA,Reims,18,2005,2.1,115,12,55,54,9,1,115,3,2,66.7,1,33.3,65,359,116,3,1,1,4,0,52,1,,Defender,Ligue 1
Amadou Koné,MLI,Reims,18,2005,5.3,322,23,97,199,32,2,322,3,2,66.7,1,33.3,224,1213,443,2,5,0,9,4,197,2,,Midfielder,Ligue 1
Ibrahima Koné,MLI,Almería,24,1999,3.1,83,5,7,41,37,10,83,4,1,25.0,2,50.0,44,208,112,5,1,4,7,1,58,18,,Forward,La Liga
Ibrahima Koné,MLI,Lorient,24,1999,0.4,7,0,0,7,0,0,7,0,0,0,0,0,5,33,17,0,0,0,2,1,7,1,,Forward,Ligue 1
Manu Koné,FRA,Gladbach,22,2001,17.3,925,23,181,525,238,31,925,69,37,53.6,26,37.7,579,3369,1764,42,33,6,41,41,643,56,,Midfielder,Bundesliga
Ezri Konsa,ENG,Aston Villa,25,1997,34.1,2359,239,971,1146,258,36,2359,34,19,55.9,6,17.6,1535,6930,3700,37,20,3,26,17,1669,33,,Defender,Premier League
Teun Koopmeiners,NED,Atalanta,25,1998,29.2,1742,52,266,838,659,85,1740,50,19,38.0,29,58.0,942,5359,2942,79,54,21,60,43,1224,190,,Midfielder,Serie A
Odilon Kossonou,CIV,Leverkusen,22,2001,20.1,1600,67,404,976,237,9,1600,40,23,57.5,17,42.5,953,5398,2880,48,35,4,12,15,1154,23,,Defender,Bundesliga
Filip Kostić,SRB,Juventus,30,1992,20.2,1221,57,257,520,454,32,1221,27,6,22.2,15,55.6,614,3619,2012,64,52,11,30,16,720,95,,Defender,Serie A
Christian Kouamé,CIV,Fiorentina,25,1997,12.1,616,12,57,244,322,50,616,29,9,31.0,18,62.1,361,1469,455,12,12,5,48,29,471,110,,Forward,Serie A
Rominigue Kouamé,MLI,Cádiz,26,1996,9.1,501,14,121,328,58,2,501,10,7,70.0,1,10.0,249,1684,703,16,7,1,8,1,286,5,,Midfielder,La Liga
Koffi Kouao,CIV,Metz,25,1998,9.6,511,52,188,231,100,8,511,10,8,80.0,2,20.0,293,1742,705,10,11,3,17,3,252,29,,Defender,Ligue 1
Tomáš Koubek,CZE,Augsburg,30,1992,3.0,114,105,114,0,0,0,114,0,0,0,0,0,56,247,120,0,0,0,0,0,52,0,,Goalkeeper,Bundesliga
Therence Koudou,FRA,Reims,18,2004,3.5,204,15,52,91,64,1,204,3,3,100.0,0,0.0,122,645,309,8,3,1,3,4,107,21,,Defender,Ligue 1
Jules Koundé,FRA,Barcelona,24,1998,32.2,3041,157,903,1701,462,44,3041,38,16,42.1,17,44.7,1910,9350,5961,67,67,2,25,12,2187,64,,Defender,La Liga
Boubakar Kouyaté,MLI,Montpellier,26,1997,21.4,1155,170,630,490,36,21,1155,3,3,100.0,0,0.0,704,3753,1773,4,3,1,15,2,622,3,,Defender,Ligue 1
Cheikhou Kouyaté,SEN,Nott'ham Forest,33,1989,2.4,108,10,30,49,29,5,108,2,1,50.0,1,50.0,37,112,46,0,1,0,3,3,48,5,,Midfielder,Premier League
Mateo Kovačić,CRO,Manchester City,29,1994,17.2,1689,33,226,1079,395,16,1689,32,20,62.5,7,21.9,1141,6091,2733,37,51,1,16,24,1431,38,,Midfielder,Premier League
Viktor Kovalenko,UKR,Empoli,27,1996,6.8,313,8,54,165,94,13,313,9,2,22.2,7,77.8,165,539,201,4,0,1,9,6,210,24,,Midfielder,Serie A
Matej Kovar,CZE,Leverkusen,23,2000,1.0,19,17,19,0,0,0,19,0,0,0,0,0,8,45,38,0,0,0,0,0,9,0,,Goalkeeper,Bundesliga
Dawid Kownacki,POL,Werder Bremen,26,1997,4.2,159,2,10,66,83,31,159,3,2,66.7,1,33.3,77,346,88,5,1,3,18,5,125,26,,Forward,Bundesliga
Emil Krafth,SWE,Newcastle Utd,28,1994,10.1,661,48,279,241,145,10,661,6,3,50.0,2,33.3,358,1588,720,12,9,1,8,3,423,33,,Defender,Premier League
Alex Král,CZE,Union Berlin,25,1998,15.2,618,37,164,311,151,17,618,12,5,41.7,5,41.7,287,1688,837,15,16,1,15,12,338,41,,Midfielder,Bundesliga
Andrej Kramarić,CRO,Hoffenheim,32,1991,24.4,1366,29,149,589,640,102,1361,51,25,49.0,22,43.1,812,4823,2426,71,49,24,47,27,956,175,Forward,Midfielder,Bundesliga
Christoph Kramer,GER,Gladbach,32,1991,2.8,227,6,58,109,60,8,227,10,4,40.0,5,50.0,128,575,280,10,3,4,3,4,140,8,,Midfielder,Bundesliga
Frans Krätzig,GER,Bayern Munich,20,2003,0.6,60,4,20,23,17,1,60,1,0,0.0,1,100.0,38,220,108,0,1,0,1,2,42,7,,Defender,Bundesliga
Tom Krauß,GER,Mainz 05,22,2001,15.0,867,40,202,496,181,14,867,12,3,25.0,8,66.7,348,1746,798,12,13,4,27,13,418,29,,Midfielder,Bundesliga
Rasmus Kristensen,DEN,Roma,26,1997,19.4,1213,74,407,516,296,38,1213,17,7,41.2,10,58.8,571,2020,914,16,9,6,14,5,760,115,,Defender,Serie A
Thomas Kristensen,DEN,Udinese,21,2002,23.3,1124,164,583,499,57,22,1124,10,10,100.0,0,0.0,474,2640,1233,20,10,1,17,5,536,3,,Defender,Serie A
Toni Kroos,GER,Real Madrid,33,1990,23.6,2656,58,546,1641,492,13,2656,8,5,62.5,3,37.5,1758,8020,4189,32,51,1,8,6,2128,29,,Midfielder,La Liga
Nikola Krstović,MNE,Lecce,23,2000,26.4,864,30,60,429,386,127,861,61,29,47.5,26,42.6,485,2134,849,32,21,17,102,39,641,126,,Forward,Serie A
Rade Krunić,BIH,Milan,29,1993,7.6,497,28,125,318,58,5,497,2,2,100.0,0,0.0,284,1278,556,5,7,0,8,3,334,3,,Midfielder,Serie A
Lukas Kübler,GER,Freiburg,30,1992,20.5,1254,106,446,623,193,14,1254,10,3,30.0,3,30.0,554,2385,981,13,14,0,7,6,615,32,,Defender,Bundesliga
Takefusa Kubo,JPN,Real Sociedad,22,2001,23.9,1161,11,94,404,683,122,1161,117,55,47.0,44,37.6,745,6334,3378,136,57,63,60,27,831,231,Midfielder,Forward,La Liga
Mohammed Kudus,GHA,West Ham,22,2000,27.6,1311,20,193,582,590,102,1311,221,124,56.1,77,34.8,904,6874,3225,117,62,40,80,93,936,216,Midfielder,Forward,Premier League
Christian Kühlwetter,GER,Heidenheim,27,1996,0.1,3,0,1,0,2,2,3,0,0,0,0,0,3,33,28,1,0,1,1,0,2,0,,Midfielder,Bundesliga
Dejan Kulusevski,SWE,Tottenham,23,2000,30.7,1623,12,167,503,984,226,1623,129,54,41.9,66,51.2,1169,7680,3856,151,61,82,86,65,1229,388,Midfielder,Forward,Premier League
Sael Kumbedi,FRA,Lyon,18,2005,10.3,727,24,183,356,196,16,727,20,7,35.0,13,65.0,500,2673,1384,19,22,4,20,7,451,75,,Defender,Ligue 1
Marash Kumbulla,ALB,Sassuolo,23,2000,4.0,144,38,95,49,0,0,144,0,0,0,0,0,63,348,224,2,0,0,0,0,74,0,,Defender,Serie A
Justin Kumi,ITA,Sassuolo,19,2004,0.0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,Forward,Serie A
Layvin Kurzawa,FRA,Paris S-G,30,1992,0.1,14,0,6,6,2,0,14,1,0,0.0,1,100.0,10,51,27,0,0,0,0,0,10,1,,Defender,Ligue 1
Berkan Kutlu,TUR,Genoa,25,1998,2.2,97,5,27,38,33,5,97,2,0,0.0,1,50.0,46,235,96,4,0,2,0,3,52,9,,Midfielder,Serie A
Daler Kuzyaev,RUS,Le Havre,30,1993,23.2,1246,43,252,602,398,51,1246,23,12,52.2,8,34.8,925,4289,1656,23,32,6,31,15,853,97,,Midfielder,Ligue 1
Khvicha Kvaratskhelia,GEO,Napoli,22,2001,30.4,1642,10,108,641,926,196,1642,220,101,45.9,98,44.5,1119,9260,4776,184,108,81,58,48,1296,266,,Forward,Serie A
Giorgi Kvernadze,GEO,Frosinone,20,2003,0.7,49,0,8,22,19,1,49,5,3,60.0,2,40.0,29,206,49,0,1,0,4,3,37,6,Defender,Forward,Serie A
Moritz-Broni Kwarteng,GHA,Bochum,25,1998,3.1,153,0,14,65,76,15,153,18,7,38.9,8,44.4,95,637,250,8,6,3,15,5,99,24,,Forward,Bundesliga
Grejohn Kyei,FRA,Clermont Foot,27,1995,11.4,406,12,18,204,185,57,405,30,10,33.3,20,66.7,284,1478,493,12,11,3,38,19,312,85,,Forward,Ligue 1
Giorgos Kyriakopoulos,GRE,Monza,27,1996,19.0,1241,44,343,523,383,36,1241,32,18,56.3,11,34.4,765,4410,2611,64,37,13,16,10,845,94,,Defender,Serie A
Luca de la Torre,USA,Celta Vigo,25,1998,21.7,971,21,141,465,381,63,971,32,11,34.4,19,59.4,606,3777,2012,58,40,12,38,28,679,88,,Midfielder,La Liga
Gaëtan Laborde,FRA,Nice,29,1994,21.2,780,9,77,333,377,101,778,50,17,34.0,33,66.0,559,2788,1068,33,24,16,27,26,548,161,Midfielder,Forward,Ligue 1
Alexandre Lacazette,FRA,Lyon,32,1991,25.5,809,14,89,358,372,127,807,42,22,52.4,17,40.5,576,2746,910,22,20,10,55,37,567,144,,Forward,Ligue 1
Maxence Lacroix,FRA,Wolfsburg,23,2000,26.2,1732,193,903,781,59,22,1732,15,7,46.7,8,53.3,925,4290,2119,5,9,0,20,1,1077,5,,Defender,Bundesliga
Alban Lafont,FRA,Nantes,24,1999,27.7,1081,914,1075,6,0,0,1081,1,0,0.0,0,0.0,768,3646,1792,0,0,0,1,0,561,0,,Goalkeeper,Ligue 1
Yoel Lago,ESP,Celta Vigo,19,2004,1.0,93,14,66,26,1,1,93,0,0,0,0,0,76,324,137,0,0,0,0,0,77,0,,Defender,La Liga
Aïssa Laïdouni,TUN,Union Berlin,26,1996,11.9,666,19,142,340,197,24,666,27,10,37.0,16,59.3,366,2025,895,24,17,5,16,20,438,41,,Midfielder,Bundesliga
Konrad Laimer,AUT,Bayern Munich,26,1997,19.7,1671,37,315,893,482,49,1671,48,23,47.9,22,45.8,1008,5264,2893,62,56,17,27,17,1196,98,Midfielder,Defender,Bundesliga
Stefan Lainer,AUT,Gladbach,30,1992,8.3,581,36,195,263,127,13,581,8,2,25.0,6,75.0,295,1315,606,15,14,3,10,4,352,31,Midfielder,Defender,Bundesliga
Kenny Lala,MAD,Brest,31,1991,33.0,2471,130,687,1276,545,14,2471,38,19,50.0,18,47.4,1617,9146,3750,45,51,3,21,12,1461,98,,Defender,Ligue 1
Adam Lallana,ENG,Brighton,35,1988,9.4,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,Forward,Midfielder,Premier League
Mathis Lambourde,FRA,Rennes,17,2006,0.1,9,1,3,3,3,0,9,0,0,0,0,0,6,33,10,1,0,0,1,0,4,2,,Forward,Ligue 1
Érik Lamela,ARG,Sevilla,31,1992,5.1,266,2,34,101,138,26,266,16,7,43.8,9,56.3,159,843,400,11,13,4,20,13,176,28,Midfielder,Forward,La Liga
Mohamed Lamine Bayo,GUI,Le Havre,25,1998,15.4,479,11,31,205,245,77,477,39,17,43.6,20,51.3,325,1611,585,18,16,14,35,24,346,115,,Forward,Ligue 1
Didier Lamkel Zé,CMR,Metz,26,1996,6.1,262,15,45,134,89,15,262,17,6,35.3,11,64.7,192,1239,542,15,19,4,11,7,190,23,Midfielder,Forward,Ligue 1
Tariq Lamptey,GHA,Brighton,22,2000,10.2,545,21,130,221,197,21,545,19,6,31.6,8,42.1,354,2092,1218,39,17,12,22,2,382,64,Forward,Defender,Premier League
Bruno Langa,MOZ,Almería,25,1997,9.1,504,45,210,209,88,6,504,21,13,61.9,5,23.8,243,1250,720,14,10,2,5,3,265,30,,Defender,La Liga
Gianluca Lapadula,PER,Cagliari,33,1990,13.4,262,7,23,97,145,67,261,9,4,44.4,3,33.3,143,651,237,8,6,7,21,8,189,63,,Forward,Serie A
Aymeric Laporte,ESP,Manchester City,29,1994,0.1,14,2,7,6,1,1,14,0,0,0,0,0,10,23,1,0,0,0,0,0,10,0,,Defender,Premier League
Julien Laporte,FRA,Lorient,29,1993,20.2,1234,238,656,550,32,16,1234,2,1,50.0,1,50.0,876,4611,2433,5,3,1,1,2,819,3,,Defender,Ligue 1
Cyle Larin,CAN,Mallorca,28,1995,20.3,548,26,51,209,297,111,548,39,14,35.9,23,59.0,310,1608,571,20,13,17,58,34,406,103,,Forward,La Liga
Yasser Larouci,ALG,Sheffield Utd,22,2001,5.9,262,29,101,112,56,7,262,17,10,58.8,7,41.2,137,1225,741,18,13,4,1,5,134,12,,Defender,Premier League
Hugo Larsson,SWE,Eint Frankfurt,19,2004,21.0,1175,52,339,641,206,16,1175,19,7,36.8,11,57.9,654,2937,1185,26,19,4,25,7,770,42,,Midfielder,Bundesliga
Jamaal Lascelles,ENG,Newcastle Utd,29,1993,12.0,872,101,397,437,41,20,872,3,1,33.3,1,33.3,519,2493,1461,8,6,0,2,4,634,3,,Defender,Premier League
Juanmi Latasa,ESP,Getafe,22,2001,17.3,578,21,32,255,295,104,578,13,6,46.2,5,38.5,278,968,262,7,10,3,66,21,447,82,,Forward,La Liga
Toni Lato,ESP,Mallorca,25,1997,17.2,942,40,249,399,305,17,942,18,10,55.6,5,27.8,432,1860,911,30,23,8,17,7,494,110,,Defender,La Liga
Armand Lauriente,FRA,Sassuolo,24,1998,32.3,1292,9,130,453,740,118,1292,135,63,46.7,54,40.0,817,6280,3470,125,84,48,80,55,880,268,,Forward,Serie A
Roméo Lavia,BEL,Chelsea,19,2004,0.4,30,1,2,26,2,0,30,0,0,0,0,0,22,83,40,0,0,0,0,0,26,0,,Midfielder,Premier League
Lázaro,BRA,Almería,21,2002,3.2,152,2,19,64,69,14,152,16,5,31.3,10,62.5,89,547,224,5,3,2,11,5,100,34,Midfielder,Forward,La Liga
Valentino Lazaro,AUT,Torino,27,1996,22.2,1268,39,250,552,487,33,1268,43,20,46.5,12,27.9,713,3505,1736,53,29,10,35,8,792,106,Midfielder,Defender,Serie A
Darko Lazović,SRB,Hellas Verona,32,1990,21.4,834,22,133,345,363,63,833,27,5,18.5,19,70.4,443,2469,1210,43,21,14,22,16,525,139,Midfielder,Forward,Serie A
Manuel Lazzari,ITA,Lazio,29,1993,18.6,1138,30,325,541,283,18,1138,24,11,45.8,10,41.7,609,4072,2553,73,53,6,19,5,727,104,,Defender,Serie A
Théo Le Bris,FRA,Lorient,20,2002,16.8,876,49,248,320,317,34,876,35,16,45.7,17,48.6,597,3700,1724,56,38,8,30,7,551,117,Midfielder,Defender,Ligue 1
Julien Le Cardinal,FRA,Brest,25,1997,5.3,343,39,160,157,28,7,343,5,3,60.0,2,40.0,201,1334,646,3,4,0,5,1,180,4,,Defender,Ligue 1
Julien Le Cardinal,FRA,Lens,25,1997,0.6,40,3,16,20,5,0,40,1,1,100.0,0,0.0,23,142,43,1,0,0,0,0,18,2,,Defender,Ligue 1
Jérémy Le Douaron,FRA,Brest,25,1998,18.0,626,14,72,227,334,83,626,60,16,26.7,35,58.3,453,3288,1227,48,31,15,53,24,460,130,,Forward,Ligue 1
Enzo Le Fée,FRA,Rennes,23,2000,17.0,1239,48,227,691,344,19,1239,53,29,54.7,22,41.5,966,5512,2446,45,48,7,33,24,893,58,,Midfielder,Ligue 1
Vincent Le Goff,FRA,Lorient,33,1989,6.0,372,19,130,128,118,9,372,4,4,100.0,0,0.0,261,1333,720,9,10,1,4,2,234,51,Midfielder,Defender,Ligue 1
Robin Le Normand,ESP,Real Sociedad,26,1996,27.4,1996,171,899,1057,45,17,1996,1,1,100.0,0,0.0,1242,7060,4021,21,16,0,16,6,1359,1,,Defender,La Liga
Nicola Leali,ITA,Genoa,30,1993,2.0,76,54,76,0,0,0,76,0,0,0,0,0,38,238,152,0,0,0,0,0,40,0,,Goalkeeper,Serie A
Rafael Leão,POR,Milan,24,1999,27.9,1351,20,75,575,725,179,1351,154,77,50.0,61,39.6,937,7403,4060,160,99,82,66,41,1127,293,,Forward,Serie A
Adrien Lebeau,FRA,Brest,24,1999,0.6,42,1,8,19,16,2,42,1,0,0.0,1,100.0,30,138,54,1,2,1,2,1,28,5,Forward,Midfielder,Ligue 1
Jean-Louis Leca,FRA,Lens,37,1985,1.0,28,24,28,0,0,0,28,0,0,0,0,0,20,100,46,0,0,0,0,0,16,0,,Goalkeeper,Ligue 1
Benjamin Lecomte,FRA,Montpellier,32,1991,30.0,1082,846,1067,16,0,0,1082,0,0,0,0,0,699,4248,2923,0,0,0,0,0,467,0,,Goalkeeper,Ligue 1
Jeremías Ledesma,ARG,Cádiz,30,1993,33.9,1261,992,1248,17,0,0,1261,2,2,100.0,0,0.0,652,4356,3096,0,0,0,1,0,421,0,,Goalkeeper,La Liga
Pierre Lees-Melou,FRA,Brest,30,1993,28.0,2091,125,606,1158,368,43,2091,44,29,65.9,14,31.8,1529,9024,3989,51,56,13,43,12,1328,43,,Midfielder,Ligue 1
Diogo Leite,POR,Union Berlin,24,1999,30.0,1979,243,981,886,126,22,1979,11,6,54.5,5,45.5,982,4458,2495,14,9,2,24,7,1128,4,,Defender,Bundesliga
Maxim Leitsch,GER,Mainz 05,25,1998,4.2,205,26,126,73,6,0,205,2,0,0.0,2,100.0,98,388,170,1,0,0,1,0,101,0,,Defender,Bundesliga
Florian Lejeune,FRA,Rayo Vallecano,32,1991,37.0,2386,341,1317,953,131,36,2386,5,4,80.0,0,0.0,1250,5730,2951,15,6,0,13,4,1494,4,,Defender,La Liga
Stefan Lekovic,SRB,Villarreal,19,2004,0.3,16,5,14,2,0,0,16,0,0,0,0,0,4,6,1,0,0,0,0,0,11,0,,Defender,La Liga
Iñigo Lekue,ESP,Athletic Club,30,1993,22.2,1476,82,427,779,285,9,1476,44,18,40.9,25,56.8,706,3819,1993,44,30,1,17,9,825,35,,Defender,La Liga
Thomas Lemar,FRA,Atlético Madrid,27,1995,1.8,99,0,8,58,34,4,99,2,1,50.0,1,50.0,78,447,217,5,4,0,3,2,83,9,,Midfielder,La Liga
Mario Lemina,GAB,Wolves,29,1993,33.0,1817,130,557,980,308,51,1817,46,25,54.3,19,41.3,933,4903,2281,32,31,3,33,22,1203,49,,Midfielder,Premier League
Álvaro Lemos,ESP,Las Palmas,30,1993,2.8,207,8,35,133,42,0,207,2,0,0.0,2,100.0,118,536,241,6,7,0,4,0,127,8,,Defender,La Liga
Ruben Lendinez,ESP,Valencia,20,2003,0.1,11,1,3,6,2,1,11,0,0,0,0,0,1,2,0,0,0,0,0,0,5,3,,Defender,La Liga
Clément Lenglet,FRA,Aston Villa,28,1995,12.8,1017,165,514,449,59,12,1017,8,3,37.5,2,25.0,727,4422,2819,26,18,0,3,3,786,1,,Defender,Premier League
Bernd Leno,GER,Fulham,31,1992,38.0,1657,1275,1645,12,0,0,1657,0,0,0,0,0,1031,4482,2432,0,0,0,1,0,942,0,,Goalkeeper,Premier League
Christopher Lenz,GER,RB Leipzig,28,1994,0.5,55,3,19,19,18,1,55,0,0,0,0,0,19,78,32,1,0,0,1,0,34,7,Midfielder,Defender,Bundesliga
Christopher Lenz,GER,Eint Frankfurt,28,1994,0.1,13,2,4,8,1,0,13,0,0,0,0,0,5,22,18,0,1,0,1,1,6,0,,Defender,Bundesliga
Johann Lepenant,FRA,Lyon,20,2002,2.8,210,5,39,129,43,4,210,4,3,75.0,1,25.0,171,882,372,5,7,3,5,0,155,6,,Midfielder,Ligue 1
Jefferson Lerma,COL,Crystal Palace,28,1994,26.7,1513,99,413,822,290,40,1513,20,11,55.0,6,30.0,735,3033,1410,14,17,2,26,14,893,51,Defender,Midfielder,Premier League
Léo Leroy,FRA,Montpellier,23,2000,5.5,270,18,98,130,48,6,270,14,5,35.7,9,64.3,168,944,408,8,5,1,8,5,145,9,,Midfielder,Ligue 1
Robert Lewandowski,POL,Barcelona,34,1988,30.6,900,24,47,361,502,165,896,54,23,42.6,30,55.6,529,2549,1019,43,28,20,86,28,736,168,,Forward,La Liga
Jamie Leweling,GER,Stuttgart,22,2001,16.9,829,18,97,330,419,89,829,58,26,44.8,27,46.6,534,3571,1860,65,38,28,46,39,622,172,Midfielder,Forward,Bundesliga
Rico Lewis,ENG,Manchester City,18,2004,9.0,620,8,119,287,220,30,620,9,4,44.4,4,44.4,380,1758,964,21,20,5,2,12,486,46,Midfielder,Defender,Premier League
Keane Lewis-Potter,ENG,Brentford,22,2001,16.0,604,32,107,173,330,84,604,58,21,36.2,33,56.9,370,2822,1632,56,32,24,30,18,417,135,Defender,Forward,Premier League
Philipp Lienhart,AUT,Freiburg,27,1996,14.1,1114,110,564,520,39,9,1114,3,0,0.0,3,100.0,730,4866,2716,14,12,0,7,0,738,3,,Defender,Bundesliga
Matthijs de Ligt,NED,Bayern Munich,23,1999,15.4,1330,118,490,768,75,21,1330,2,2,100.0,0,0.0,851,4373,2423,16,15,2,9,2,1022,6,,Defender,Bundesliga
Victor Lindelöf,SWE,Manchester Utd,29,1994,14.8,1037,102,466,463,114,15,1037,1,1,100.0,0,0.0,620,3077,1621,17,14,0,5,3,706,17,,Defender,Premier League
Jesper Lindstrøm,DEN,Napoli,23,2000,4.8,306,2,27,129,154,20,306,25,11,44.0,14,56.0,184,1195,512,16,10,5,18,8,233,34,Midfielder,Forward,Serie A
Jesper Lindstrøm,DEN,Eint Frankfurt,23,2000,0.9,45,0,3,18,24,4,45,4,1,25.0,3,75.0,34,221,82,2,4,0,5,2,40,9,,Forward,Bundesliga
Karol Linetty,POL,Torino,28,1995,20.6,1068,42,192,703,182,13,1068,17,8,47.1,7,41.2,580,2736,1441,31,24,5,22,11,686,25,,Midfielder,Serie A
Samuel Lino,BRA,Atlético Madrid,23,1999,23.1,1317,43,282,509,557,107,1317,75,40,53.3,28,37.3,872,6156,3739,131,81,44,42,35,958,215,Midfielder,Defender,La Liga
Luca Lipani,ITA,Sassuolo,18,2005,4.3,202,11,55,106,42,7,202,4,2,50.0,2,50.0,89,365,163,6,1,1,2,4,103,3,,Midfielder,Serie A
Pol Lirola,ESP,Frosinone,25,1997,17.1,874,45,294,403,184,13,874,13,6,46.2,7,53.8,393,2267,1306,30,20,1,11,9,486,59,,Defender,Serie A
Marcin Listkowski,POL,Lecce,25,1998,0.1,5,0,1,3,1,0,5,0,0,0,0,0,4,15,4,0,0,0,1,0,4,0,,Forward,Serie A
Valentino Livramento,ENG,Newcastle Utd,20,2002,14.6,957,63,309,428,232,27,957,30,17,56.7,8,26.7,521,2952,1463,44,17,8,17,18,583,76,,Defender,Premier League
Dejan Ljubicic,AUT,Köln,25,1997,22.8,1046,20,205,537,319,37,1046,33,15,45.5,16,48.5,634,3423,1746,41,47,5,37,18,734,73,Forward,Midfielder,Bundesliga
Javier Llabrés,ESP,Mallorca,20,2002,2.7,143,3,17,53,75,11,143,8,5,62.5,3,37.5,65,468,224,9,6,2,11,7,90,30,Forward,Midfielder,La Liga
Diego Llorente,ESP,Roma,29,1993,24.1,1865,233,945,869,56,12,1865,7,3,42.9,3,42.9,1208,6166,2944,20,10,0,10,3,1370,5,,Defender,Serie A
Marcos Llorente,ESP,Atlético Madrid,28,1995,28.5,1465,44,322,615,537,82,1465,27,11,40.7,11,40.7,839,4122,2119,71,40,20,28,18,1033,179,Defender,Midfielder,La Liga
Gautier Lloris,FRA,Le Havre,28,1995,30.9,1733,266,915,752,75,34,1733,10,4,40.0,5,50.0,1187,5795,2971,13,14,0,9,2,1077,5,,Defender,Ligue 1
Abou Lô,SEN,Metz,23,2000,2.2,99,15,49,42,8,2,99,3,2,66.7,1,33.3,66,377,79,0,2,0,2,0,58,2,Defender,Midfielder,Ligue 1
Giovani Lo Celso,ARG,Tottenham,27,1996,5.6,570,13,85,292,201,19,570,14,8,57.1,3,21.4,361,1891,946,25,20,0,12,7,456,29,,Midfielder,Premier League
Stanislav Lobotka,SVK,Napoli,28,1994,36.5,2518,94,521,1658,361,5,2518,33,15,45.5,11,33.3,1449,6884,2731,29,47,2,25,13,1851,34,,Midfielder,Serie A
Manuel Locatelli,ITA,Juventus,25,1998,33.4,2285,101,542,1418,341,22,2285,19,13,68.4,5,26.3,1262,5525,2702,21,37,2,19,17,1604,26,,Midfielder,Serie A
Bradley Locko,FRA,Brest,21,2002,32.9,2269,112,666,1101,544,21,2269,118,56,47.5,52,44.1,1466,8974,4389,83,62,4,68,28,1308,162,,Defender,Ligue 1
Tom Lockyer,WAL,Luton Town,28,1994,13.0,586,108,316,242,32,18,586,6,4,66.7,2,33.3,269,1504,883,6,6,1,6,2,247,2,,Defender,Premier League
Renan Lodi,BRA,Marseille,25,1998,13.7,874,47,247,390,243,19,874,8,2,25.0,5,62.5,575,3148,1376,25,30,2,15,2,522,77,,Defender,Ligue 1
Ruben Loftus-Cheek,ENG,Milan,27,1996,23.0,953,27,122,494,356,64,953,56,30,53.6,20,35.7,581,4166,2373,73,63,9,35,22,717,113,,Midfielder,Serie A
Andy Logbo,FRA,Le Havre,19,2004,2.8,79,4,9,36,35,12,79,5,4,80.0,1,20.0,55,290,57,1,0,1,16,7,46,7,,Forward,Ligue 1
Enzo Loiodice,FRA,Las Palmas,22,2000,19.9,1362,34,238,799,337,26,1362,53,28,52.8,21,39.6,756,3333,1451,27,27,4,41,42,997,72,,Midfielder,La Liga
Sean Longstaff,ENG,Newcastle Utd,25,1997,30.5,1533,50,338,780,422,90,1533,23,11,47.8,11,47.8,801,3331,1394,24,24,7,34,35,1076,116,,Midfielder,Premier League
Ademola Lookman,NGA,Atalanta,25,1997,21.0,1109,2,54,458,607,129,1109,87,39,44.8,37,42.5,699,4257,1972,72,42,35,66,42,866,222,Midfielder,Forward,Serie A
Noah Loosli,SUI,Bochum,26,1997,3.8,177,18,76,83,19,4,177,1,1,100.0,0,0.0,74,309,119,1,1,0,3,0,69,3,,Defender,Bundesliga
Anthony Lopes,POR,Lyon,32,1990,31.0,1110,928,1093,17,0,0,1110,0,0,0,0,0,784,4447,2904,1,0,0,0,0,510,0,,Goalkeeper,Ligue 1
David López,ESP,Girona,33,1989,21.8,1770,286,946,785,48,22,1770,9,5,55.6,2,22.2,1083,5934,3308,15,9,0,12,2,1281,1,,Defender,La Liga
Diego López,ESP,Valencia,21,2002,29.5,1094,24,152,457,504,95,1094,76,28,36.8,40,52.6,598,3673,2078,75,59,29,64,27,720,180,Forward,Midfielder,La Liga
Fermin López,ESP,Barcelona,20,2003,16.1,841,11,95,418,335,69,841,38,22,57.9,12,31.6,486,2639,1446,42,28,10,51,25,618,93,Forward,Midfielder,La Liga
Javi López,ESP,Alavés,21,2002,26.5,1407,89,441,582,404,45,1407,74,41,55.4,28,37.8,631,4017,1896,53,44,11,40,20,720,120,,Defender,La Liga
Maxime Lopez,FRA,Fiorentina,25,1997,8.9,724,19,145,459,120,8,724,4,2,50.0,2,50.0,470,2352,1174,14,12,1,4,1,543,11,,Midfielder,Serie A
Maxime Lopez,FRA,Sassuolo,25,1997,1.6,144,10,38,89,19,0,144,2,0,0.0,2,100.0,107,542,267,2,4,0,1,0,125,4,,Midfielder,Serie A
Pau López,ESP,Marseille,28,1994,32.7,1258,780,1216,42,0,0,1258,0,0,0,0,0,946,5033,3149,0,0,0,1,0,718,0,,Goalkeeper,Ligue 1
