Player,Nation,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Position_2,Position,League
Jim Allevinah,GAB,Clermont Foot,28,1995,20.7,1008,48,223,443,360,67,1008,67,28,41.8,35,52.2,726,5623,2680,87,55,13,54,26,676,120,Defender,Midfielder,Ligue 1
Domingos André Ribeiro Almeida,POR,Valencia,23,2000,10.7,514,12,72,245,203,16,514,29,13,44.8,12,41.4,292,1847,861,24,27,6,20,17,367,33,Midfielder,Forward,La Liga
Miguel Almirón,PAR,Newcastle Utd,29,1994,21.5,1029,25,137,430,475,86,1029,52,23,44.2,22,42.3,652,4488,2276,78,43,22,30,27,741,162,,Forward,Premier League
Pontus Almqvist,SWE,Lecce,24,1999,23.4,779,11,105,332,360,80,779,93,37,39.8,43,46.2,505,4048,1930,72,47,35,59,39,558,137,Midfielder,Forward,Serie A
Marcos Alonso,ESP,Barcelona,32,1990,2.8,246,7,59,100,89,7,246,6,3,50.0,2,33.3,141,766,388,11,10,2,2,3,157,33,,Defender,La Liga
Adrià Altimira,ESP,Villarreal,22,2001,8.6,552,38,200,278,82,2,552,16,11,68.8,4,25.0,257,1338,644,10,6,0,7,5,329,15,Midfielder,Defender,La Liga
Sergi Altimira,ESP,Betis,21,2001,6.3,391,22,93,236,64,6,391,11,6,54.5,5,45.5,224,1089,465,10,4,0,8,9,278,8,,Midfielder,La Liga
Edson Álvarez,MEX,West Ham,25,1997,26.4,1599,150,565,854,201,16,1599,42,27,64.3,14,33.3,890,5147,2227,20,27,1,38,30,948,26,,Midfielder,Premier League
Gastón Álvarez,URU,Getafe,23,2000,28.2,1325,125,508,648,178,22,1325,21,9,42.9,11,52.4,558,2517,1283,11,12,0,27,10,624,40,,Defender,La Liga
Hugo Álvarez,ESP,Celta Vigo,20,2003,8.5,536,16,96,188,263,32,536,29,16,55.2,11,37.9,320,1875,1108,36,15,16,15,13,359,80,Defender,Midfielder,La Liga
Julián Álvarez,ARG,Manchester City,23,2000,29.4,1554,20,107,473,988,149,1552,42,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180,Forward,Midfielder,Premier League
Yeray Álvarez,ESP,Athletic Club,28,1995,12.8,810,52,344,440,31,7,810,3,2,66.7,1,33.3,428,2689,1856,13,9,1,8,0,485,2,,Defender,La Liga
Skelly Alvero,FRA,Lyon,21,2002,4.7,242,8,43,143,58,6,242,7,4,57.1,2,28.6,182,869,321,3,4,0,8,7,171,13,,Midfielder,Ligue 1
Skelly Alvero,FRA,Werder Bremen,21,2002,1.4,100,4,26,54,21,6,100,2,2,100.0,0,0.0,61,369,172,1,3,0,2,1,62,6,,Midfielder,Bundesliga
Papa Amadou Diallo,SEN,Metz,19,2004,9.9,405,18,97,177,146,24,405,43,16,37.2,25,58.1,259,1839,806,25,18,5,28,9,236,65,,Forward,Ligue 1
Selim Amallah,MAR,Valencia,26,1996,6.7,293,7,48,133,117,16,293,42,18,42.9,15,35.7,172,954,358,7,13,2,29,15,191,36,Midfielder,Forward,La Liga
Amath,SEN,Mallorca,27,1996,4.4,198,6,32,79,90,21,198,25,8,32.0,15,60.0,119,830,478,19,8,9,22,8,130,30,Midfielder,Forward,La Liga
Lorenzo Amatucci,ITA,Fiorentina,19,2004,0.2,26,0,1,15,10,1,26,0,0,0,0,0,13,52,17,1,0,0,0,0,17,1,,Midfielder,Serie A
Jordan Amavi,FRA,Brest,29,1994,1.0,67,4,18,42,8,0,67,2,1,50.0,1,50.0,43,290,75,0,1,0,1,1,35,1,,Defender,Ligue 1
Zeki Amdouni,SUI,Burnley,22,2000,21.7,789,24,94,379,337,68,788,88,29,33.0,47,53.4,468,3229,1654,63,30,20,67,32,513,93,,Forward,Premier League
Kelvin Amian,FRA,Nantes,25,1998,8.9,430,34,130,193,107,4,430,7,3,42.9,4,57.1,242,1402,609,12,10,0,11,7,232,21,,Defender,Ligue 1
Bruno Amione,ARG,Hellas Verona,21,2002,6.4,344,22,176,157,15,7,344,2,1,50.0,1,50.0,190,918,402,2,3,0,8,1,188,2,,Defender,Serie A
